adsh,cik,name,countryba,stprba,cityba,accepted,form,period,fy,fp,Accounts Payable (Current),Accounts Receivable (Current),Accrued Liabilities (Current),Accumulated Depreciation/Amortization,Additional Paid-in Capital,Amortization of Intangibles,Cash From Ops,Net Income,Revenue,Share-based Compensation Expense,Shareholder Equity,Total Assets,ROE,ROA,ROI,Current Ratio,Debt to Equity,Profit Margin,Asset Turnover,Financial Risk Flag,Risk Category,Risk Flag
0000020212-25-000067,20212,CHURCHILL DOWNS INC,US,KY,LOUISVILLE,2025-04-23 16:34:00.0,10-Q,20250331.0,2025.0,Q1,193700000.0,103650000.0,,,,,250600000.0,72850000.0,210933333.33333334,5400000.0,484475000.0,3129442857.142857,0.15036895608648537,0.023278904049556973,0.02481484365115668,0.5351058337635519,5.4594516892365075,0.3453697850821745,0.06740283908743835,True,High Risk,1
0000020286-25-000029,20286,CINCINNATI FINANCIAL CORP,US,OH,FAIRFIELD,2025-04-28 16:15:00.0,10-Q,20250331.0,2025.0,Q1,,,,,1506500000.0,,331500000.0,332500000.0,1119500000.0,,2607285714.285714,14755400000.0,0.1275272587803408,0.022534123100695337,,,4.65929538107501,0.29700759267530147,0.07587052875557423,True,High Risk,1
0000021665-25-000020,21665,COLGATE PALMOLIVE CO,US,NY,NEW YORK,2025-04-25 08:32:00.0,10-Q,20250331.0,2025.0,Q1,1802500000.0,1623000000.0,,,,,640500000.0,686500000.0,,,287500000.0,16346500000.0,2.3878260869565215,0.04199675771571896,0.047201595159515955,0.9004160887656033,55.85739130434783,,,True,High Risk,1
0000022701-25-000002,22701,"SUNATION ENERGY, INC.",US,NY,RONKONKOMA,2025-04-15 17:03:00.0,10-K,20241231.0,2024.0,FY,7855015.0,4945956.0,,,,3787988.5,-3484931.5,-11990986.0,,620979.0,8965088.782608695,25971385.75,-1.3375200503603732,-0.46169989215920065,-0.6618867633849898,0.6296558313383234,1.8969468546013382,,,True,High Risk,1
0000027904-25-000007,27904,"DELTA AIR LINES, INC.",US,GA,ATLANTA,2025-04-09 16:21:00.0,10-Q,20250331.0,2025.0,Q1,4729500000.0,,,,11719000000.0,,2393000000.0,138500000.0,,,4416333333.333333,42221555555.55556,0.03136085742320175,0.003280314952341353,0.0036941159386358886,,8.560319017787506,,,True,High Risk,1
0000028412-25-000154,28412,COMERICA INC /NEW/,US,TX,DALLAS,2025-04-30 16:22:00.0,10-Q,20250331.0,2025.0,Q1,,,,,2208000000.0,,34000000.0,,,,,78459500000.0,,,,,,,,True,High Risk,1
0000029332-25-000017,29332,DIXIE GROUP INC,US,GA,DALTON,2025-04-07 17:58:00.0,10-K,20241231.0,2024.0,FY,14409500.0,,15827500.0,,,,,-7859000.0,154676857.14285713,590500.0,7682500.0,183520500.0,-1.0229742922225837,-0.042823553771921936,-0.04647243526441213,,22.888122356003905,-0.05080915235264672,0.8428314937179069,True,High Risk,1
0000029905-25-000014,29905,DOVER CORP,US,IL,DOWNERS GROVE,2025-04-24 06:38:00.0,10-Q,20250331.0,2025.0,Q1,846034500.0,1366728500.0,,,,46347000.0,,171402400.0,,,2029268333.3333333,3593958285.714286,0.08446512330799032,0.04769181675850598,0.06237523794912902,1.615452443133229,0.771061138972562,,,True,High Risk,1
0000029915-25-000020,100790,UNION CARBIDE CORP /NEW/,US,TX,SEADRIFT,2025-04-25 07:38:00.0,10-Q,20250331.0,2025.0,Q1,,16500000.0,138000000.0,,1034000000.0,,78000000.0,23500000.0,1038000000.0,,,5188500000.0,,0.004529247374000193,,,,0.022639691714836225,0.20005782017924256,True,High Risk,1
0000029989-25-000015,29989,OMNICOM GROUP INC.,US,NY,NEW YORK,2025-04-15 17:48:00.0,10-Q,20250331.0,2025.0,Q1,11624600000.0,8735500000.0,,,483750000.0,17200000.0,-702650000.0,303150000.0,1168029411.764706,,-149094444.44444445,28867200000.0,-2.033274956217163,0.010501538077818423,0.017581455232969504,0.751466717134353,-194.61687222863955,0.25953969732833077,0.04046216507886826,True,High Risk,1
0000030625-25-000059,30625,FLOWSERVE CORP,US,TX,IRVING,2025-04-29 16:02:00.0,10-Q,20250331.0,2025.0,Q1,541568500.0,1010223000.0,349458000.0,,492287000.0,3912500.0,6161500.0,74062500.0,514200.0,8700000.0,2043718000.0,3296567000.0,0.03623909952351548,0.02246655384222435,0.026882954745710386,1.8653651384820202,0.6130243996480923,144.03442240373394,0.00015598044875168624,False,Low Risk,0
0000033185-25-000042,33185,EQUIFAX INC,US,GA,ATLANTA,2025-04-22 16:21:00.0,10-Q,20250331.0,2025.0,Q1,155250000.0,987700000.0,266250000.0,,1934100000.0,64650000.0,238300000.0,129000000.0,,,4889050000.0,4722840000.0,0.026385494114398503,0.027314073735294864,0.028242464844699285,6.361996779388083,-0.033996379664761045,,,True,High Risk,1
0000033213-25-000023,33213,EQT CORP,US,PA,PITTSBURGH,2025-04-23 16:16:00.0,10-Q,20250331.0,2025.0,Q1,1257172500.0,1169385500.0,,,,,1448415000.0,172813500.0,893478727.2727273,,20657754000.0,17723128461.53846,0.008365551259832023,0.009750733363752807,0.010495199938810814,0.9301710783524139,-0.14205927413316763,0.1934164683780435,0.050413149642947894,True,High Risk,1
0000034782-25-000045,34782,1ST SOURCE CORP,US,IN,SOUTH BEND,2025-04-24 16:01:00.0,10-Q,20250331.0,2025.0,Q1,,,,,,,56876500.0,0.0,,,1136263500.0,3027155000.0,0.0,0.0,,,1.6641311632381046,,,True,High Risk,1
0000038723-25-000048,38723,1ST FRANKLIN FINANCIAL CORP,US,GA,TOCCOA,2025-04-29 19:39:00.0,10-K,20241231.0,2024.0,FY,,,,,,,74143600.33333333,3694781.3333333335,166720000.0,,,470132875.3,,0.007859015030539247,,,,0.02216159628918746,0.3546231475380509,True,High Risk,1
0000040211-25-000045,40211,GATX CORP,US,IL,CHICAGO,2025-04-25 13:12:00.0,10-Q,20250331.0,2025.0,Q1,,,,,,,110900000.0,76450000.0,160300000.0,5750000.0,972731034.4827586,5052560000.0,0.07859315400649433,0.01513094352169989,,,4.194200473604356,0.4769182782283219,0.03172649112529094,True,High Risk,1
0000040533-25-000014,40533,GENERAL DYNAMICS CORP,US,VA,RESTON,2025-04-23 11:18:00.0,10-Q,20250331.0,2025.0,Q1,3350500000.0,3135500000.0,,,,44500000.0,-213000000.0,896500000.0,,,4680333333.333333,21600000000.0,0.1915461861690763,0.04150462962962963,0.04912463355160415,0.9358304730637218,3.615055907698882,,,True,High Risk,1
0000040545-25-000062,40545,GENERAL ELECTRIC CO,US,OH,EVENDALE,2025-04-22 06:26:00.0,10-Q,20250331.0,2025.0,Q1,8267000000.0,,,,,88500000.0,1251500000.0,1758500000.0,4486200000.0,,19296500000.0,27991100000.0,0.0911305158966652,0.06282354033960795,0.08915489173143515,,0.4505791205659057,0.3919798493156792,0.16027237228976354,True,High Risk,1
0000040987-25-000070,40987,GENUINE PARTS CO,US,GA,ATLANTA,2025-04-22 11:43:00.0,10-Q,20250331.0,2025.0,Q1,,,,,,,138739500.0,221643000.0,,,4393670000.0,8690012636.363636,0.05044598251575562,0.02550548650211713,,,0.9778482763529432,,,True,High Risk,1
0000042888-25-000014,42888,GRACO INC,US,MN,MINNEAPOLIS,2025-04-23 16:14:00.0,10-Q,20250331.0,2025.0,Q1,69288500.0,,,,963853000.0,5500000.0,122169500.0,123150000.0,255118250.0,9000000.0,,3073763000.0,,0.04006489765151054,0.040988865107691876,,,0.4827173281409699,0.0829986729620989,True,High Risk,1
0000045012-25-000035,45012,HALLIBURTON CO,US,TX,HOUSTON,2025-04-25 11:21:00.0,10-Q,20250331.0,2025.0,Q1,3178500000.0,,,,69000000.0,,432000000.0,405000000.0,,,10436500000.0,12691500000.0,0.038806113160542326,0.031911121616830164,0.04257332071901608,,0.2160686053753653,,,True,High Risk,1
0000049071-25-000023,49071,HUMANA INC,US,KY,LOUISVILLE,2025-04-30 09:30:00.0,10-Q,20250331.0,2025.0,Q1,,365000000.0,,,3480000000.0,15500000.0,377000000.0,992500000.0,12289400000.0,,17063000000.0,48704500000.0,0.05816679364707261,0.020377993819872906,,,1.8543925452733985,0.08076065552427295,0.2523257604533462,True,High Risk,1
0000049196-25-000038,49196,HUNTINGTON BANCSHARES INC /MD/,US,OH,COLUMBUS,2025-04-29 11:58:00.0,10-Q,20250331.0,2025.0,Q1,,,,,,11500000.0,497500000.0,236500000.0,,,839363636.3636364,46918777777.77778,0.2817610744070183,0.0050406257622510765,,,54.898034826768715,,,True,High Risk,1
0000049600-25-000065,49600,EASTGROUP PROPERTIES INC,US,MS,RIDGELAND,2025-04-23 16:08:00.0,10-Q,20250331.0,2025.0,Q1,,,,,3710145000.0,2572000.0,125304000.0,,164336500.0,2779500.0,3318524500.0,5092727000.0,,,,,0.5346359504050671,,0.03226886106402326,True,High Risk,1
0000050863-25-000074,50863,INTEL CORP,US,CA,SANTA CLARA,2025-04-24 18:39:00.0,10-Q,20250331.0,2025.0,Q1,11726000000.0,3271000000.0,,,,300000000.0,-205000000.0,-601000000.0,,621000000.0,99513000000.0,103631750000.0,-0.006039411936128948,-0.005799380981214734,-0.006539307932311091,0.2789527545625107,0.04138906474530966,,,True,High Risk,1
0000051143-25-000032,51143,INTERNATIONAL BUSINESS MACHINES CORP,US,NY,ARMONK,2025-04-24 16:16:00.0,10-Q,20250331.0,2025.0,Q1,3808500000.0,6330500000.0,,,,619500000.0,4269000000.0,1330000000.0,6028208333.333333,180250000.0,27093500000.0,141421000000.0,0.04908926495284847,0.009404543879621838,0.009664819692978471,1.662202967047394,4.219739051802093,0.2206294020473192,0.042625977282958916,True,High Risk,1
0000051644-25-000039,51644,"INTERPUBLIC GROUP OF COMPANIES, INC.",US,NY,NEW YORK,2025-04-24 09:14:00.0,10-Q,20250331.0,2025.0,Q1,7846300000.0,5146900000.0,611500000.0,,,,-97200000.0,12500000.0,613429411.7647059,,3690750000.0,7090260000.0,0.00338684549210865,0.0017629818934707614,-0.01653351674514576,0.6559652320201879,0.9210892095102622,0.020377242695357824,0.08651719566908772,True,High Risk,1
0000055785-25-000039,55785,KIMBERLY CLARK CORP,US,TX,IRVING,2025-04-22 11:37:00.0,10-Q,20250331.0,2025.0,Q1,3658000000.0,2092500000.0,2229000000.0,,,,382500000.0,607000000.0,1816181818.1818182,,970500000.0,16425500000.0,0.6254507985574446,0.036954735015676844,0.04754258860387703,0.5720338983050848,15.924781040700669,0.33421763940334365,0.11057086957363967,True,High Risk,1
0000057515-25-000010,57515,LANCASTER COLONY CORP,US,OH,WESTERVILLE,2025-04-30 07:41:00.0,10-Q,20250331.0,2025.0,Q3,119939500.0,,65237000.0,,,,195385500.0,55414928.571428575,,2050000.0,370457550.0,1241771500.0,0.1495850970547869,0.044625704947672394,0.04939681571877837,,2.351994040882687,,,True,High Risk,1
0000059527-25-000013,59527,LINCOLN ELECTRIC HOLDINGS INC,US,OH,CLEVELAND,2025-04-30 07:37:00.0,10-Q,20250331.0,2025.0,Q1,330928500.0,502350000.0,,,573995000.0,,159493500.0,120951000.0,,,264672722.2222222,1593611272.7272727,0.4569832470247847,0.07589742998805914,0.09578890487177356,1.5180016227070199,5.021063520815941,,,True,High Risk,1
0000062709-25-000028,62709,"MARSH & MCLENNAN COMPANIES, INC.",US,NY,NEW YORK,2025-04-17 16:09:00.0,10-Q,20250331.0,2025.0,Q1,,,,,1311500000.0,68700000.0,-701500000.0,1390500000.0,,107500000.0,,56748000000.0,,0.024503066187354622,,,,,,True,High Risk,1
0000062996-25-000010,62996,MASCO CORP /DE/,US,MI,LIVONIA,2025-04-23 07:04:00.0,10-Q,20250331.0,2025.0,Q1,828500000.0,,684500000.0,,,,-126000000.0,200500000.0,,,-266500000.0,2530750000.0,-0.7523452157598499,0.07922552602983306,0.11778528418269937,,-10.49624765478424,,,True,High Risk,1
0000064040-25-000126,64040,S&P GLOBAL INC.,US,NY,NEW YORK,2025-04-29 17:21:00.0,10-Q,20250331.0,2025.0,Q1,539000000.0,2974000000.0,,,44340000000.0,266000000.0,950500000.0,1040500000.0,,40000000.0,33265000000.0,21955750000.0,0.031279122200511045,0.047390774626236865,0.048583468546814994,5.517625231910946,-0.33997444761761614,,,True,High Risk,1
0000066740-25-000039,66740,3M CO,US,MN,ST PAUL,2025-04-22 12:25:00.0,10-Q,20250331.0,2025.0,Q1,2708000000.0,3347500000.0,,,7265000000.0,26500000.0,344000000.0,1022000000.0,2981250000.0,27750000.0,4153000000.0,39909500000.0,0.24608716590416566,0.025607937959633672,0.02747201053720952,1.236152141802068,8.609800144473875,0.3428092243186583,0.0747002593367494,True,High Risk,1
0000067887-25-000036,67887,MOOG INC.,US,NY,EAST AURORA,2025-04-25 10:54:00.0,10-Q,20250331.0,2025.0,Q2,293020000.0,,293680000.0,,,3694500.0,-38236500.0,83109750.0,253172085.52631578,,306586901.9607843,4206440500.0,0.27108056302623984,0.019757738163656422,0.021237112137578878,,12.720222465792252,0.32827375035136414,0.060186774429904756,True,High Risk,1
0000070318-25-000017,70318,TENET HEALTHCARE CORP,US,TX,DALLAS,2025-04-29 16:04:00.0,10-Q,20250331.0,2025.0,Q1,1310500000.0,1456000000.0,,,,42500000.0,700500000.0,,,19000000.0,4176000000.0,19391000000.0,,,,1.1110263258298358,3.6434386973180075,,,True,High Risk,1
0000070502-25-000024,70502,NATIONAL RURAL UTILITIES COOPERATIVE FINANCE CORP /DC/,US,VA,DULLES,2025-04-11 13:34:00.0,10-Q,20250228.0,2025.0,Q3,,,,,,,258991500.0,147952750.0,,,3000955500.0,17566672266.666668,0.04930188068433537,0.008422355000084173,,,4.853693020995036,,,True,High Risk,1
0000070858-25-000200,70858,BANK OF AMERICA CORP /DE/,US,NC,CHARLOTTE,2025-04-30 16:48:00.0,10-Q,20250331.0,2025.0,Q1,,,,,,20000000.0,-8861500000.0,3015000000.0,26592000000.0,,55706707317.07317,303859892857.1429,0.05412274652743572,0.009922336151870745,,,4.45463746632203,0.11337996389891697,0.08751401756237043,True,High Risk,1
0000072903-25-000088,72903,XCEL ENERGY INC,US,MN,MINNEAPOLIS,2025-04-24 13:09:00.0,10-Q,20250331.0,2025.0,Q1,1861500000.0,1268000000.0,,,9665000000.0,,1039000000.0,330500000.0,1888750000.0,,2765428571.428571,71392000000.0,0.11951131315218515,0.004629370237561632,0.004753309698621469,0.6811710985764169,24.815890071288358,0.17498345466578424,0.026456045495293592,True,High Risk,1
0000072909-25-000007,72909,NORTHERN STATES POWER CO /WI/,US,WI,EAU CLAIRE,2025-04-24 13:11:00.0,10-Q,20250331.0,2025.0,Q1,48500000.0,49000000.0,,,1061000000.0,,105000000.0,25500000.0,212333333.33333334,,1643500000.0,4159000000.0,0.015515667782172194,0.006131281558066843,0.006203624863155334,1.0103092783505154,1.5305749923942804,0.12009419152276295,0.051053939248216725,False,Low Risk,0
0000072971-25-000129,72971,WELLS FARGO & COMPANY/MN,US,CA,SAN FRANCISCO,2025-04-29 16:45:00.0,10-Q,20250331.0,2025.0,Q1,,,,,,,-11581000000.0,1359000000.0,10000000.0,,180105000000.0,582699347826.0869,0.007545598400932789,0.0023322490493083727,,,2.235331322429066,135.9,1.7161508824932838e-05,True,High Risk,1
0000073124-25-000187,73124,NORTHERN TRUST CORP,US,IL,CHICAGO,2025-04-30 16:05:00.0,10-Q,20250331.0,2025.0,Q1,,,,,,76925000.0,648600000.0,182010000.0,,46100000.0,2031125000.0,160289800000.0,0.08961043756538864,0.001135505815092414,,,77.91675795433565,,,True,High Risk,1
0000073756-25-000090,73756,OCEANEERING INTERNATIONAL INC,US,TX,HOUSTON,2025-04-24 16:30:00.0,10-Q,20250331.0,2025.0,Q1,175447500.0,337657500.0,452779500.0,,86467500.0,3750000.0,-75217500.0,,202604176.47058824,,704291333.3333334,756276466.6666666,,,,1.9245500790834864,0.07381197364348265,,0.26789697339595686,True,High Risk,1
0000077476-25-000019,77476,PEPSICO INC,US,NY,PURCHASE,2025-04-23 18:02:00.0,10-Q,20250331.0,2025.0,Q1,,,,,4329500000.0,5250000.0,-1007000000.0,1938000000.0,5167000000.0,87000000.0,18215000000.0,100602000000.0,0.10639582761460335,0.019264030536172243,,,4.523030469393357,0.3750725759628411,0.05136080793622393,True,High Risk,1
0000078239-25-000018,78239,PVH CORP. /DE/,US,NY,NEW YORK,2025-04-01 11:50:00.0,10-K,20250131.0,2024.0,FY,1112200000.0,822250000.0,755900000.0,,3343700000.0,22800000.0,583166666.6666666,487500000.0,1738445454.5454545,,1468635714.2857144,3235657142.857143,0.3319407224391928,0.15066491240463406,0.22957845023613782,0.7393004855241863,1.20317204013443,0.2804229484021775,0.5372773992396414,True,High Risk,1
0000079879-25-000133,79879,PPG INDUSTRIES INC,US,PA,PITTSBURGH,2025-04-30 14:14:00.0,10-Q,20250331.0,2025.0,Q1,,,,,1284500000.0,17500000.0,-39000000.0,386500000.0,,,6856000000.0,9586090909.09091,0.056373978996499416,0.04031883315788974,,,0.3982046250132599,,,True,High Risk,1
0000080424-25-000037,80424,PROCTER & GAMBLE CO,US,OH,CINCINNATI,2025-04-24 16:20:00.0,10-Q,20250331.0,2025.0,Q3,14938000000.0,6128500000.0,10460000000.0,,,164250000.0,13462000000.0,7906000000.0,11919571428.571428,269500000.0,,122677000000.0,,0.06444565811032223,0.07338104121998533,0.41026241799437674,,0.6632788810719465,0.09716223439252206,True,High Risk,1
0000081018-25-000008,81018,PUBLIC SERVICE CO OF COLORADO,US,CO,DENVER,2025-04-24 13:10:00.0,10-Q,20250331.0,2025.0,Q1,417250000.0,239500000.0,,,8316000000.0,,622000000.0,158000000.0,625500000.0,,10861000000.0,27380000000.0,0.014547463401160114,0.00577063550036523,0.005859936393728385,0.5739964050329539,1.5209465058466072,0.25259792166266987,0.022845142439737034,True,High Risk,1
0000083246-25-000014,83246,HSBC USA INC /MD/,US,NY,NEW YORK,2025-04-29 06:06:00.0,10-Q,20250331.0,2025.0,Q1,,,,,12723500000.0,,1806000000.0,213000000.0,943500000.0,8500000.0,2558650000.0,42386600000.0,0.08324702479823344,0.0050251730499733405,,,15.56600160240752,0.22575516693163752,0.02225939329882557,True,High Risk,1
0000084748-25-000034,84748,ROGERS CORP,US,AZ,CHANDLER,2025-04-29 17:49:00.0,10-Q,20250331.0,2025.0,Q1,49500000.0,137250000.0,,,148500000.0,2900000.0,19900000.0,3200000.0,,1420000.0,315096296.2962963,1495750000.0,0.010155625558324322,0.0021393949523650342,0.002212618841832325,2.772727272727273,3.746961540269876,,,True,High Risk,1
0000084839-25-000069,84839,ROLLINS INC,US,GA,ATLANTA,2025-04-24 16:40:00.0,10-Q,20250331.0,2025.0,Q1,51350000.0,195093000.0,,,,19750000.0,137162500.0,99821000.0,,7990000.0,500940800.0,2884126500.0,0.19926705910159445,0.03461047911733414,0.035237866453636565,3.799279454722493,4.757419838831255,,,True,High Risk,1
0000085961-25-000053,85961,RYDER SYSTEM INC,US,FL,MIAMI,2025-04-23 11:54:00.0,10-Q,20250331.0,2025.0,Q1,846000000.0,,,,1121000000.0,12000000.0,588500000.0,91500000.0,652981818.1818181,,623485714.2857143,16546500000.0,0.14675556777563928,0.005529870365334058,0.005827839877710901,,25.538699477591422,0.14012641309795623,0.039463440496891676,True,High Risk,1
0000086312-25-000029,86312,"TRAVELERS COMPANIES, INC.",US,MN,SAINT PAUL,2025-04-16 07:00:00.0,10-Q,20250331.0,2025.0,Q1,,,,,,,1409000000.0,294900000.0,11519000000.0,81000000.0,6575555555.555555,67106833333.333336,0.04484792159513349,0.004394485410079947,,,9.205500168976005,0.025601180658043232,0.17165166984981658,True,High Risk,1
0000088121-25-000040,88121,SEABOARD CORP /DE/,US,KS,SHAWNEE MISSION,2025-04-28 16:11:00.0,10-Q,20250331.0,2025.0,Q1,385500000.0,788500000.0,,,,,-500000.0,,146250000.0,,450142857.14285713,1612684210.5263157,,,,2.0453955901426717,2.582605355025138,,0.09068731438268987,True,High Risk,1
0000089439-25-000019,89439,MUELLER INDUSTRIES INC,US,TN,COLLIERVILLE,2025-04-23 12:20:00.0,10-Q,20250331.0,2025.0,Q1,198676000.0,501609500.0,,,,,143592000.0,74171750.0,,,2719801000.0,1412908909.090909,0.027271020931310782,0.052495776283075064,0.061085274039831515,2.5247614206044013,-0.4805101883958021,,,True,High Risk,1
0000089800-25-000087,89800,SHERWIN WILLIAMS CO,US,OH,CLEVELAND,2025-04-29 14:34:00.0,10-Q,20250331.0,2025.0,Q1,2406666666.6666665,2670333333.3333335,,,,81550000.0,-60000000.0,504550000.0,525000000.0,,772894444.4444444,9559573333.333334,0.6528058308954077,0.05277955222548286,0.07053775807690299,1.1095567867036011,11.368536741397778,0.961047619047619,0.05491876903850659,True,High Risk,1
0000091142-25-000075,91142,SMITH A O CORP,US,WI,MILWAUKEE,2025-04-29 15:29:00.0,10-Q,20250331.0,2025.0,Q1,,,175800000.0,,603550000.0,,72650000.0,142100000.0,,4750000.0,348297297.2972973,1891770000.0,0.4079847908745247,0.07511483954180477,,,4.431480561806472,,,True,High Risk,1
0000091388-25-000044,91388,SMITHFIELD FOODS INC,US,VA,SMITHFIELD,2025-04-29 08:08:00.0,10-Q,20250331.0,2025.0,Q1,612000000.0,658500000.0,880000000.0,,,,,190000000.0,,,457777777.7777778,11100000000.0,0.41504854368932037,0.017117117117117116,0.018115942028985508,1.0759803921568627,23.247572815533978,,,True,High Risk,1
0000091440-25-000031,91440,SNAP-ON INC,US,WI,KENOSHA,2025-04-17 11:15:00.0,10-Q,20250331.0,2025.0,Q1,273600000.0,834150000.0,,,,6000000.0,323600000.0,252000000.0,308216666.6666667,375000.0,5457450000.0,2795562500.0,0.046175411593326554,0.09014286033669432,0.09992218361692531,3.048793859649123,-0.48775297987155175,0.8176066619802087,0.11025211086021747,False,Low Risk,0
0000092230-25-000050,92230,TRUIST FINANCIAL CORP,US,NC,CHARLOTTE,2025-04-30 16:39:00.0,10-Q,20250331.0,2025.0,Q1,,,,,,48900000.0,-122000000.0,,,,-3432583333.3333335,319324700000.0,,,,,-94.02751571945326,,,True,High Risk,1
