adsh,cik,name,countryba,stprba,cityba,accepted,form,period,fy,fp,Accounts Payable (Current),Accounts Receivable (Current),Accrued Liabilities (Current),Additional Paid-in Capital,Amortization of Intangibles,Cash From Ops,Net Income,Revenue,Share-based Compensation Expense,Shareholder Equity,Total Assets,ROE,ROA,ROI,Current Ratio,Debt to Equity,Profit Margin,Asset Turnover,Financial Risk Flag,Risk Category
0000006951-24-000012,6951,APPLIED MATERIALS INC /DE,US,CA,SANTA CLARA,2024-02-27 16:03:00.0,10-Q,20240131.0,2024.0,Q1,1478000000.0,4700000000.0,,9131000000.0,11000000.0,2270000000.0,2019000000.0,,170000000.0,45480000000.0,31540000000.0,0.044393139841688654,0.0640139505389981,0.06716120018628169,3.1799729364005414,-0.3065083553210202,,,True,High Risk
0000007332-24-000009,7332,SOUTHWESTERN ENERGY CO,US,TX,SPRING,2024-02-22 17:12:00.0,10-K,20231231.0,2023.0,FY,1835000000.0,0.0,,7172000000.0,5000000.0,1363000000.0,-25000000.0,,4000000.0,-982000000.0,11253000000.0,0.025458248472505093,-0.002221629787612192,-0.002654491399447866,0.0,-12.459266802443992,,,True,High Risk
0000007789-24-000009,7789,ASSOCIATED BANC-CORP,US,WI,GREEN BAY,2024-02-08 16:17:00.0,10-K,20231231.0,2023.0,FY,,,,1714822000.0,8844000.0,254534000.0,327271000.0,502925000.0,333000.0,-272799000.0,4734666000.0,-1.1996781513128714,0.06912229922871012,,,-18.355877404242683,0.6507351990853507,0.10622185387522584,True,High Risk
0000008670-24-000007,8670,AUTOMATIC DATA PROCESSING INC,US,NJ,ROSELAND,2024-02-01 15:48:00.0,10-Q,20231231.0,2024.0,Q2,76800000.0,3372400000.0,2634900000.0,2262900000.0,190200000.0,1358900000.0,1592200000.0,,44400000.0,-1745200000.0,50971000000.0,-0.912330964932386,0.031237370269368857,0.0312845078614066,43.911458333333336,-30.206394682557875,,,True,High Risk
0000008818-24-000003,8818,AVERY DENNISON CORP,US,OH,MENTOR,2024-02-21 16:04:00.0,10-K,20231231.0,2023.0,FY,1277100000.0,1414900000.0,,854500000.0,44600000.0,1046800000.0,503000000.0,,47400000.0,-3021800000.0,7950500000.0,-0.16645707856244624,0.06326646122885353,0.07537387238888722,1.1079007125518754,-3.6310477199020452,,,True,High Risk
0000008858-24-000008,8858,AVNET INC,US,AZ,PHOENIX,2024-02-01 17:51:00.0,10-Q,20231231.0,2024.0,Q2,3308060000.0,4508742000.0,753130000.0,1691334000.0,,-966501000.0,117931000.0,,,3378212000.0,12997174000.0,0.03490929521297065,0.009073587843018798,0.012171494731097188,1.3629565364594354,2.847352978439482,,,True,High Risk
0000009984-24-000051,9984,BARNES GROUP INC,US,CT,BRISTOL,2024-02-26 16:47:00.0,10-K,20231231.0,2023.0,FY,145060000.0,,221462000.0,529791000.0,43485000.0,167806000.0,99873000.0,114469000.0,10201000.0,-220500000.0,2413700000.0,-0.45293877551020406,0.04137755313419232,0.04402329148741096,,-11.946485260770976,0.872489494972438,0.047424700667025727,True,High Risk
0000010048-24-000005,10048,BARNWELL INDUSTRIES INC,US,HI,HONOLULU,2024-02-12 16:15:00.0,10-Q,20231231.0,2024.0,Q1,10000.0,2931000.0,,7687000.0,,897000.0,-664000.0,32000.0,30000.0,18744000.0,753000.0,-0.035424669227486126,-0.8818061088977424,-0.8936742934051144,293.1,-0.9598271446862996,-20.75,0.04249667994687915,True,High Risk
0000010795-24-000019,10795,BECTON DICKINSON & CO,US,NJ,FRANKLIN LAKES,2024-02-01 16:35:00.0,10-Q,20231231.0,2024.0,Q1,,2267000000.0,,19741000000.0,365000000.0,,281000000.0,508000000.0,,19590000000.0,52274000000.0,0.014344053088310363,0.005375521291655507,,,1.6684022460438999,0.5531496062992126,0.009718024256800704,True,High Risk
0000011544-24-000005,11544,BERKLEY W R CORP,US,CT,GREENWICH,2024-02-23 16:09:00.0,10-K,20231231.0,2023.0,FY,,,,1017691000.0,,2929238000.0,251386000.0,1203647000.0,,6748332000.0,1680147000.0,0.03725157564861954,0.14962143193422955,,,-0.7510278095387127,0.20885359245692467,0.7163938631560215,True,High Risk
0000012208-24-000013,12208,"BIO-RAD LABORATORIES, INC.",US,CA,HERCULES,2024-02-16 16:31:00.0,10-K,20231231.0,2023.0,FY,135041000.0,494645000.0,,,28400000.0,194400000.0,4254300000.0,,5400000.0,13685236000.0,300000.0,0.31086785788714205,14181.0,-31.573908461418572,3.662924593271673,-0.9999780785658354,,,True,High Risk
0000014272-24-000044,14272,BRISTOL MYERS SQUIBB CO,US,NJ,PRINCETON,2024-02-13 11:54:00.0,10-K,20231231.0,2023.0,FY,1394000000.0,8151000000.0,,,10200000000.0,13066000000.0,6327000000.0,10762000000.0,583000000.0,28766000000.0,96820000000.0,0.21994715984147953,0.06534806858087172,0.06630268480288391,5.847202295552368,2.365779044705555,0.58790187697454,0.11115472009915307,True,High Risk
0000014930-24-000054,14930,BRUNSWICK CORP,US,IL,METTAWA,2024-02-16 12:00:00.0,10-K,20231231.0,2023.0,FY,662600000.0,,738300000.0,391300000.0,68600000.0,574000000.0,0.0,1199800000.0,3600000.0,2087400000.0,829800000.0,0.0,0.0,0.0,,-0.6024719747053751,0.0,1.4458905760424199,True,High Risk
0000016875-24-000009,16875,CANADIAN PACIFIC KANSAS CITY LTD/CN,CA,AB,CALGARY ALBERTA,2024-02-27 11:58:00.0,10-K,20231231.0,2023.0,FY,,1016000000.0,667000000.0,78000000.0,3000000.0,3688000000.0,280000000.0,2003000000.0,11000000.0,-182000000.0,73495000000.0,-1.5384615384615385,0.003809782978433907,,,-404.81868131868134,0.1397903145282077,0.027253554663582556,True,High Risk
0000018230-24-000009,18230,CATERPILLAR INC,US,TX,IRVING,2024-02-16 10:05:00.0,10-K,20231231.0,2023.0,FY,7906000000.0,8856000000.0,4958000000.0,,218000000.0,12885000000.0,,142000000.0,193000000.0,,6042000000.0,,,,1.1201619023526435,,,0.023502151605428664,True,High Risk
0000018349-24-000053,18349,SYNOVUS FINANCIAL CORP,US,GA,COLUMBUS,2024-02-23 07:40:00.0,10-K,20231231.0,2023.0,FY,,,,,10500000.0,794016000.0,757902000.0,-337446000.0,27795000.0,52966000.0,5207472000.0,14.309217233697089,0.14554125303026114,,,97.31726012913944,-2.2459949147419143,-0.0648003484224207,True,High Risk
0000018926-24-000016,18926,"LUMEN TECHNOLOGIES, INC.",US,LA,MONROE,2024-02-22 16:08:00.0,10-K,20231231.0,2023.0,FY,1134000000.0,31000000.0,,,1100000000.0,2160000000.0,2033000000.0,4687000000.0,52000000.0,11777000000.0,31000000.0,0.17262460728538678,65.58064516129032,-1.843155031731641,0.027336860670194002,-0.997367750700518,0.4337529336462556,151.19354838709677,True,High Risk
0000019617-24-000225,19617,JPMORGAN CHASE & CO,US,NY,NEW YORK,2024-02-16 16:20:00.0,10-K,20231231.0,2023.0,FY,,,,90128000000.0,315000000.0,78084000000.0,-3713000000.0,28971000000.0,,-10443000000.0,791000000.0,0.35554917169395767,-4.694058154235146,,,-1.0757445178588527,-0.12816264540402472,36.62579013906448,True,High Risk
0000020212-24-000055,20212,CHURCHILL DOWNS INC,US,KY,LOUISVILLE,2024-02-21 16:47:00.0,10-K,20231231.0,2023.0,FY,145500000.0,81500000.0,,,4800000.0,,417300000.0,974600000.0,32900000.0,0.0,701700000.0,,0.5946985891406584,0.750269687162891,0.5601374570446735,,0.4281756618099733,1.3889126407296566,True,High Risk
0000020286-24-000014,20286,CINCINNATI FINANCIAL CORP,US,OH,FAIRFIELD,2024-02-26 14:05:00.0,10-K,20231231.0,2023.0,FY,,,,1437000000.0,,567000000.0,2968000000.0,6563000000.0,,11711000000.0,1562000000.0,0.2534369396294083,1.9001280409731114,,,-0.8666211254376227,0.4522322108791711,4.201664532650448,True,High Risk
0000021076-24-000010,21076,CLOROX CO /DE/,US,CA,OAKLAND,2024-02-01 16:45:00.0,10-Q,20231231.0,2024.0,Q2,,,,1245000000.0,,173000000.0,184000000.0,,,220000000.0,373000000.0,0.8363636363636363,0.4932975871313673,,,0.6954545454545454,,,True,High Risk
0000021175-24-000007,21175,CNA FINANCIAL CORP,US,IL,CHICAGO,2024-02-06 07:33:00.0,10-K,20231231.0,2023.0,FY,,,,2221000000.0,,919000000.0,-42000000.0,24000000.0,36000000.0,9081000000.0,11370000000.0,-0.004625041295011563,-0.0036939313984168864,,,0.25206475057813016,-1.75,0.0021108179419525065,True,High Risk
0000021344-24-000009,21344,COCA COLA CO,US,GA,ATLANTA,2024-02-20 13:21:00.0,10-K,20231231.0,2023.0,FY,,3487000000.0,,18822000000.0,165000000.0,11018000000.0,10714000000.0,85000000.0,251000000.0,24105000000.0,109551000000.0,0.4444721012238125,0.09779919854679556,,,3.5447417548226507,126.04705882352941,0.0007758943323201066,True,High Risk
0000021665-24-000003,21665,COLGATE PALMOLIVE CO,US,NY,NEW YORK,2024-02-15 16:03:00.0,10-K,20231231.0,2023.0,FY,1698000000.0,1586000000.0,,,89000000.0,3745000000.0,2166000000.0,,122000000.0,401000000.0,3542000000.0,5.401496259351621,0.611518915866742,1.1746203904555315,0.934040047114252,7.832917705735661,,,True,High Risk
0000022356-24-000013,22356,COMMERCE BANCSHARES INC /MO/,US,MO,KANSAS CITY,2024-02-22 17:21:00.0,10-K,20231231.0,2023.0,FY,,,,,-1658000.0,286991000.0,488399000.0,82000.0,17100000.0,2465291000.0,2982438000.0,0.19811008112226913,0.16375830780053097,,,0.20977117914274623,5956.085365853659,2.7494284877003312e-05,True,High Risk
0000024545-24-000005,24545,MOLSON COORS BEVERAGE CO,US,CO,GOLDEN,2024-02-20 09:23:00.0,10-K,20231231.0,2023.0,FY,2068200000.0,739800000.0,,,208100000.0,1502000000.0,1005700000.0,,33600000.0,13196000000.0,2800000.0,0.07621248863291907,359.17857142857144,-0.4869274716761886,0.3577023498694517,-0.9997878144892391,,,True,High Risk
0000025232-24-000004,25232,COUSINS PROPERTIES INC,US,GA,ATLANTA,2024-02-07 16:18:00.0,10-K,20231231.0,2023.0,FY,,,,5630327000.0,15500000.0,389478000.0,2012000.0,84000.0,4073000.0,-62562000.0,7634474000.0,-0.032160097183593875,0.00026354140442419477,,,-123.0305297145232,23.952380952380953,1.100272264991668e-05,True,High Risk
0000026172-24-000012,26172,CUMMINS INC,US,IN,COLUMBUS,2024-02-12 15:25:00.0,10-K,20231231.0,2023.0,FY,4252000000.0,,3754000000.0,,324000000.0,2256000000.0,,1879000000.0,33000000.0,8975000000.0,32005000000.0,,,,,2.566016713091922,,0.058709576628651776,True,High Risk
0000026324-24-000004,26324,CURTISS WRIGHT CORP,US,NC,DAVIDSON,2024-02-20 08:43:00.0,10-K,20231231.0,2023.0,FY,266525000.0,,174440000.0,140182000.0,60000000.0,294776000.0,262829000.0,,15384000.0,2897922000.0,529221000.0,0.09069567779947148,0.49663373146568257,1.000506288637817,,-0.8173791427098452,,,True,High Risk
0000027904-24-000003,27904,"DELTA AIR LINES, INC.",US,GA,ATLANTA,2024-02-12 17:04:00.0,10-K,20231231.0,2023.0,FY,5106000000.0,,,11526000000.0,9000000.0,6464000000.0,280000000.0,,150000000.0,-313000000.0,-57000000.0,-0.8945686900958466,-4.912280701754386,-0.05423203563819485,,-0.8178913738019169,,,True,High Risk
0000027996-24-000065,27996,DELUXE CORP,US,MN,MINNEAPOLIS,2024-02-22 13:12:00.0,10-K,20231231.0,2023.0,FY,154863000.0,191005000.0,218404000.0,,,198367000.0,62633000.0,104608000.0,,,3080622000.0,,0.020331283747243252,0.021407436497674622,1.2333804717718242,,0.5987400581217498,0.0339567788582955,True,High Risk
0000028412-24-000185,28412,COMERICA INC /NEW/,US,TX,DALLAS,2024-02-28 16:26:00.0,10-K,20231231.0,2023.0,FY,,,,2220000000.0,0.0,698000000.0,,1189000000.0,41000000.0,,85834000000.0,,,,,,,0.013852319593634223,True,High Risk
0000029905-24-000008,29905,DOVER CORP,US,IL,DOWNERS GROVE,2024-02-09 16:32:00.0,10-K,20231231.0,2023.0,FY,1068144000.0,1432040000.0,,886690000.0,158628000.0,1115865000.0,1123818000.0,7907081000.0,,4286366000.0,1525449000.0,0.2621843305028082,0.7367129284558186,2.4574802374782694,1.340680657289654,-0.644116018090849,0.14212804952927635,5.183445005372189,False,Low Risk
0000029989-24-000007,29989,OMNICOM GROUP INC.,US,NY,NEW YORK,2024-02-07 06:36:00.0,10-K,20231231.0,2023.0,FY,11000200000.0,8097100000.0,,571100000.0,80300000.0,926500000.0,1316500000.0,1552700000.0,84800000.0,3616300000.0,28044600000.0,0.36404612449188395,0.0469430835169694,0.07723944521367722,0.7360866166069708,6.755053507728894,0.8478778901268758,0.05536538228393345,True,High Risk
0000030625-24-000025,30625,FLOWSERVE CORP,US,TX,IRVING,2024-02-20 16:13:00.0,10-K,20231231.0,2023.0,FY,547824000.0,868632000.0,427578000.0,506525000.0,11400000.0,-40010000.0,186743000.0,3489000.0,29500000.0,1936100000.0,5108719000.0,0.09645317907132896,0.03655378187760963,0.040944376048999157,1.5856041356348025,1.6386648416920613,53.52335912869017,0.0006829500702622321,False,Low Risk
0000030697-24-000004,30697,WENDY'S CO,US,OH,DUBLIN,2024-02-26 16:31:00.0,10-K,20231231.0,2023.0,FY,43996000.0,104797000.0,18762000.0,,58690000.0,345416000.0,0.0,106705000.0,7687000.0,47042000.0,5182826000.0,0.0,0.0,0.0,2.381966542412947,109.17443986225075,0.0,0.020588188760340402,True,High Risk
0000031791-24-000004,31791,"REVVITY, INC.",US,MA,WALTHAM,2024-02-27 14:10:00.0,10-K,20231231.0,2023.0,FY,272826000.0,612780000.0,527863000.0,2753055000.0,-370638000.0,679810000.0,943157000.0,,9500000.0,4417174000.0,14129855000.0,0.21352045448062495,0.06674923415703841,0.068063435531527,2.246046931010974,2.1988450081432154,,,True,High Risk
0000032604-24-000008,32604,EMERSON ELECTRIC CO,US,MO,ST LOUIS,2024-02-07 16:05:00.0,10-Q,20231231.0,2024.0,Q1,1234000000.0,2518000000.0,3210000000.0,,34000000.0,415000000.0,-90000000.0,1024000000.0,30000000.0,20689000000.0,46513000000.0,-0.004350137754362222,-0.001934942919183884,-0.0019876764062810573,2.0405186385737437,1.2481995263183334,-0.087890625,0.02201535054715886,True,High Risk
0000033185-24-000017,33185,EQUIFAX INC,US,GA,ATLANTA,2024-02-22 16:20:00.0,10-K,20231231.0,2023.0,FY,197600000.0,908200000.0,245100000.0,1594200000.0,250700000.0,1334800000.0,545300000.0,,,4534100000.0,3296100000.0,0.12026642553097638,0.1654379418100179,0.17598838147490722,4.596153846153846,-0.27304205906354073,,,True,High Risk
0000033213-24-000008,33213,EQT CORP,US,PA,PITTSBURGH,2024-02-14 16:17:00.0,10-K,20231231.0,2023.0,FY,1272522000.0,823695000.0,,,,1662448000.0,1735232000.0,7497689000.0,0.0,11172474000.0,22669926000.0,0.15531313834339647,0.07654334645821076,0.08109544503622963,0.6472933277381452,1.0290873802883767,0.2314355796832864,0.3307328396219732,True,High Risk
0000034067-24-000025,34067,DMC GLOBAL INC.,US,CO,BROOMFIELD,2024-02-23 16:09:00.0,10-K,20231231.0,2023.0,FY,46816000.0,94415000.0,8415000.0,,36926000.0,-12812000.0,26259000.0,,430000.0,294515000.0,878978000.0,0.08916014464458516,0.029874467847886978,0.03155515392435607,2.016725051264525,1.9844931497546814,,,True,High Risk
0000034088-24-000018,34088,EXXON MOBIL CORP,US,TX,SPRING,2024-02-28 16:37:00.0,10-K,20231231.0,2023.0,FY,,30296000000.0,,,,55369000000.0,1215000000.0,15331000000.0,612000000.0,195049000000.0,67915000000.0,0.0062292039436244225,0.017890009570787013,,,-0.6518054437602859,0.07925119039853891,0.22573805492159316,True,High Risk
0000034563-24-000022,34563,FARMER BROTHERS CO,US,TX,NORTHLAKE,2024-02-08 17:08:00.0,10-Q,20231231.0,2024.0,Q2,60088000.0,,,,1200000.0,-10867000.0,-20982000.0,,200000.0,-27786000.0,181846000.0,0.7551284819693371,-0.11538334634800876,-0.17232543241511852,,-7.544518822428561,,,True,High Risk
0000034782-24-000033,34782,1ST SOURCE CORP,US,IN,SOUTH BEND,2024-02-20 17:10:00.0,10-K,20231231.0,2023.0,FY,,,,,110000.0,175530000.0,118557000.0,48568000.0,0.0,989568000.0,8339416000.0,0.11980682479627473,0.014216463119240004,,,7.4273299055749575,2.441051721297974,0.005823909012333718,True,High Risk
0000034903-24-000032,34903,FEDERAL REALTY INVESTMENT TRUST,US,MD,NORTH BETHESDA,2024-02-12 16:15:00.0,10-K,20231231.0,2023.0,FY,,,,3821801000.0,3150000.0,516769000.0,236985000.0,1074378000.0,14434000.0,2954012000.0,8233991000.0,0.0802247925871662,0.028781304230232944,,,1.7873925359815734,0.22057879070494743,0.13048083244200778,True,High Risk
0000035527-24-000088,35527,FIFTH THIRD BANCORP,US,OH,CINCINNATI,2024-02-27 17:11:00.0,10-K,20231231.0,2023.0,FY,,,,,47000000.0,6428000000.0,-1000000.0,,2000000.0,23111000000.0,2007000000.0,-4.3269438795378825e-05,-0.0004982561036372695,,,-0.9131582363376747,,,True,High Risk
0000036104-24-000018,36104,US BANCORP DE,US,MN,MINNEAPOLIS,2024-02-20 17:10:00.0,10-K,20231231.0,2023.0,FY,,,,8673000000.0,45000000.0,21119000000.0,-1542000000.0,8774000000.0,207000000.0,50766000000.0,6100000000.0,-0.03037466020564945,-0.25278688524590165,,,-0.8798408383563803,-0.1757465238203784,1.4383606557377049,True,High Risk
0000036966-24-000015,36966,FIRST HORIZON CORP,US,TN,MEMPHIS,2024-02-22 18:16:00.0,10-K,20231231.0,2023.0,FY,,,,5351000000.0,47000000.0,725000000.0,999000000.0,,,8996000000.0,57857000000.0,0.11104935526900844,0.01726670930051679,,,5.431413961760782,,,True,High Risk
0000037785-24-000033,37785,FMC CORP,US,PA,PHILADELPHIA,2024-02-27 14:51:00.0,10-K,20231231.0,2023.0,FY,602400000.0,,684800000.0,909200000.0,64300000.0,,121000000.0,,,4410900000.0,11926200000.0,0.02743204334716271,0.010145729570190002,0.010685458944877161,,1.7038019451812556,,,True,High Risk
0000037808-24-000006,37808,FNB CORP/PA/,US,PA,PITTSBURGH,2024-02-26 17:30:00.0,10-K,20231231.0,2023.0,FY,,,,4692000000.0,20000000.0,1218000000.0,439000000.0,,21000000.0,4692000000.0,40000000.0,0.09356351236146633,10.975,,,-0.9914748508098892,,,True,High Risk
0000037996-24-000009,37996,FORD MOTOR CO,US,MI,DEARBORN,2024-02-06 19:34:00.0,10-K,20231231.0,2023.0,FY,,15729000000.0,,22832000000.0,,15787000000.0,0.0,29129000000.0,0.0,42773000000.0,392000000.0,0.0,0.0,,,-0.9908353400509667,0.0,74.30867346938776,True,High Risk
0000038009-24-000016,38009,FORD MOTOR CREDIT CO LLC,US,MI,DEARBORN,2024-02-06 19:36:00.0,10-K,20231231.0,2023.0,FY,,,,,,4963000000.0,0.0,1316000000.0,,9052000000.0,134945000000.0,0.0,0.0,,,13.907755192222714,0.0,0.00975212123457705,True,High Risk
0000038725-24-000038,38725,FRANKLIN ELECTRIC CO INC,US,IN,FORT WAYNE,2024-02-23 16:03:00.0,10-K,20231231.0,2023.0,FY,139266000.0,230404000.0,100200000.0,344717000.0,17100000.0,315710000.0,187300000.0,,11700000.0,1067858000.0,1044400000.0,0.17539785252346285,0.17933741861355804,0.2069306865060864,1.6544167277009465,-0.0219673402268841,,,True,High Risk
0000039263-24-000013,39263,"CULLEN/FROST BANKERS, INC.",US,TX,SAN ANTONIO,2024-02-06 16:21:00.0,10-K,20231231.0,2023.0,FY,,,,1055809000.0,,648293000.0,-9010000.0,-10761000.0,12753000.0,3137228000.0,50845038000.0,-0.0028719621270752397,-0.00017720509914851475,,,15.206994837480732,0.8372827804107424,-0.00021164307124718837,True,High Risk
0000039899-24-000006,39899,TEGNA INC,US,VA,TYSONS,2024-02-29 17:04:00.0,10-K,20231231.0,2023.0,FY,114950000.0,658318000.0,,27941000.0,53467000.0,501612000.0,476955000.0,410800000.0,20931000.0,-121076000.0,7328896000.0,-3.939302586804982,0.06507869670957263,0.06611568758623922,5.726994345367551,-61.53136872708051,1.161039435248296,0.05605209843337933,True,High Risk
0000040211-24-000023,40211,GATX CORP,US,IL,CHICAGO,2024-02-16 12:39:00.0,10-K,20231231.0,2023.0,FY,,,,,,520400000.0,155000000.0,1273000000.0,17400000.0,816100000.0,621400000.0,0.18992770493812033,0.24943675571290633,,,-0.23857370420291632,0.12175962293794187,2.048599935629224,True,High Risk
0000040533-24-000007,40533,GENERAL DYNAMICS CORP,US,VA,RESTON,2024-02-08 09:38:00.0,10-K,20231231.0,2023.0,FY,3398000000.0,445000000.0,,,194000000.0,4710000000.0,3257000000.0,961000000.0,143000000.0,-20721000000.0,11032000000.0,-0.1571835336132426,0.29523205221174764,0.42664396122609377,0.1309593878752207,-1.5324067371265866,3.389177939646202,0.08711022480058013,True,High Risk
0000040545-24-000027,40545,GENERAL ELECTRIC CO,US,MA,BOSTON,2024-02-02 06:32:00.0,10-K,20231231.0,2023.0,FY,,,,,738000000.0,5916000000.0,339000000.0,16699000000.0,299000000.0,27378000000.0,5151000000.0,0.012382204689896998,0.06581246359930111,,,-0.8118562349331581,0.0203006168034014,3.2418947777130653,True,High Risk
0000040729-24-000004,40729,ALLY FINANCIAL INC.,US,MI,DETROIT,2024-02-20 16:38:00.0,10-K,20231231.0,2023.0,FY,,,,,20000000.0,3753000000.0,1714000000.0,259000000.0,140000000.0,17050000000.0,19012000000.0,0.10052785923753665,0.0901535872080791,,,0.1150733137829912,6.617760617760617,0.013622974963181149,True,High Risk
0000040987-24-000024,40987,GENUINE PARTS CO,US,GA,ATLANTA,2024-02-22 13:14:00.0,10-K,20231231.0,2023.0,FY,,,,,103273000.0,1258285000.0,1316524000.0,,57000000.0,-379470000.0,4400623000.0,-3.469375708224629,0.29916764058179945,,,-12.59676127230084,,,True,High Risk
0000041719-24-000007,41719,GLATFELTER CORP,US,NC,CHARLOTTE,2024-02-28 16:38:00.0,10-K,20231231.0,2023.0,FY,217625000.0,170974000.0,,58759000.0,1323000.0,,-194208000.0,,0.0,418000.0,1563796000.0,-464.6124401913876,-0.124190111753707,-0.14426696162671757,0.7856358414704193,3740.1387559808613,,,True,High Risk
0000042888-24-000010,42888,GRACO INC,US,MN,MINNEAPOLIS,2024-02-20 12:53:00.0,10-K,20231231.0,2023.0,FY,84218000.0,334000000.0,,784477000.0,18900000.0,377394000.0,460645000.0,983290000.0,24931000.0,,2438900000.0,,0.18887408257821148,0.19562938859684662,3.9658980265501436,,0.46847318695400136,0.40316946164254375,True,High Risk
0000043920-24-000010,43920,"GREIF, INC",US,OH,DELAWARE,2024-02-29 14:29:00.0,10-Q,20240131.0,2024.0,Q1,497800000.0,659400000.0,,,,4500000.0,67200000.0,,,1947900000.0,2749800000.0,0.03449869089789004,0.02443814095570587,0.02984014209591474,1.3246283648051427,0.4116741105806253,,,True,High Risk
