adsh,cik,name,countryba,stprba,cityba,accepted,form,period,fy,fp,Accounts Payable (Current),Accounts Receivable (Current),Accrued Liabilities (Current),Accumulated Depreciation/Amortization,Additional Paid-in Capital,Amortization of Intangibles,Cash From Ops,Net Income,Revenue,Share-based Compensation Expense,Shareholder Equity,Total Assets,ROE,ROA,ROI,Current Ratio,Debt to Equity,Profit Margin,Asset Turnover,Risk Flag,Risk Category
0000034903-22-000023,34903,FEDERAL REALTY INVESTMENT TRUST,US,MD,NORTH BETHESDA,2022-02-10 16:11:00.0,10-K,20211231.0,2021.0,FY,,,,,3488794000.0,4060000.0,461919000.0,353866000.0,935788000.0,13330000.0,2464157000.0,7607624000.0,0.14360529787671808,0.046514654246845005,,,2.0873130242918774,0.3781476146306642,0.12300660495313649,True,High Risk
0000035527-22-000119,35527,FIFTH THIRD BANCORP,US,OH,CINCINNATI,2022-02-25 16:20:00.0,10-K,20211231.0,2021.0,FY,,,,,,54000000.0,1910000000.0,1427000000.0,,2000000.0,,1300000000.0,,1.0976923076923077,,,,,,True,High Risk
0000037785-22-000025,37785,FMC CORP,US,PA,PHILADELPHIA,2022-02-25 15:58:00.0,10-K,20211231.0,2021.0,FY,946700000.0,,674700000.0,,880400000.0,62600000.0,,206200000.0,,,2961800000.0,10581300000.0,0.06961982578161928,0.019487208566055212,0.021402030182882528,,2.572590991964346,,,True,High Risk
0000037808-22-000005,37808,FNB CORP/PA/,US,PA,PITTSBURGH,2022-02-24 17:14:00.0,10-K,20211231.0,2021.0,FY,,,,,4087000000.0,13000000.0,113000000.0,286000000.0,,16000000.0,-40000000.0,36000000.0,-7.15,7.944444444444445,,,-1.9,,,True,High Risk
0000037996-22-000013,37996,FORD MOTOR CO,US,MI,DEARBORN,2022-02-03 18:24:00.0,10-K,20211231.0,2021.0,FY,,9993000000.0,,,22611000000.0,,15787000000.0,,6526000000.0,2000000.0,48519000000.0,62741000000.0,,,,,0.29312228199262147,,0.10401491847436285,True,High Risk
0000038009-22-000012,38009,FORD MOTOR CREDIT CO LLC,US,MI,DEARBORN,2022-02-03 18:34:00.0,10-K,20211231.0,2021.0,FY,,,,,,,4624000000.0,0.0,7622000000.0,,5227000000.0,134945000000.0,0.0,0.0,,,24.816912186722785,0.0,0.05648227055467042,True,High Risk
0000038725-22-000033,38725,FRANKLIN ELECTRIC CO INC,US,IN,FORT WAYNE,2022-02-25 15:44:00.0,10-K,20211231.0,2021.0,FY,95903000.0,196173000.0,,,283420000.0,14400000.0,129763000.0,100500000.0,,10100000.0,847833000.0,1575165000.0,0.11853749500196382,0.06380283970250736,0.06793928323718178,2.0455355932556856,0.857871774276302,,,True,High Risk
0000038777-22-000013,38777,FRANKLIN RESOURCES INC,US,CA,SAN MATEO,2022-02-01 08:45:00.0,10-Q,20211231.0,2022.0,Q1,,,,,,58200000.0,1200000.0,453200000.0,,,0.0,6237300000.0,,0.07265964439741555,,,,,,True,High Risk
0000039263-22-000008,39263,"CULLEN/FROST BANKERS, INC.",US,TX,SAN ANTONIO,2022-02-04 15:55:00.0,10-K,20211231.0,2021.0,FY,,,,,997168000.0,1200000.0,235220000.0,443079000.0,1367907000.0,700000.0,4293016000.0,42391317000.0,0.10320925894522638,0.010452116880445115,,,8.874483812778708,0.32391017810421324,0.0322685657536896,True,High Risk
0000040211-22-000023,40211,GATX CORP,US,IL,CHICAGO,2022-02-17 16:16:00.0,10-K,20211231.0,2021.0,FY,,,,,,,507200000.0,146100000.0,834300000.0,15900000.0,720100000.0,5119600000.0,0.20288848771004028,0.028537385733260413,,,6.109568115539508,0.1751168644372528,0.16296195015235565,True,High Risk
0000040533-22-000007,40533,GENERAL DYNAMICS CORP,US,VA,RESTON,2022-02-09 09:56:00.0,10-K,20211231.0,2021.0,FY,3167000000.0,3041000000.0,,,,226000000.0,4271000000.0,3167000000.0,32673000000.0,99000000.0,-3818000000.0,49349000000.0,-0.8294918805657412,0.0641755658675961,0.06857650166731627,0.9602147142406062,-13.925353588266107,0.09693018700456034,0.6620802853147987,True,High Risk
0000040545-22-000008,40545,GENERAL ELECTRIC CO,US,MA,BOSTON,2022-02-11 08:33:00.0,10-K,20211231.0,2021.0,FY,,,,,,1336000000.0,8734000000.0,5704000000.0,8357000000.0,400000000.0,40310000000.0,195697000000.0,0.141503349044902,0.02914709985334471,,,3.85480029769288,0.682541581907383,0.04270377164698488,True,High Risk
0000040729-22-000007,40729,ALLY FINANCIAL INC.,US,MI,DETROIT,2022-02-25 16:04:00.0,10-K,20211231.0,2021.0,FY,,,,,,20000000.0,4042000000.0,1715000000.0,2650000000.0,140000000.0,0.0,1295000000.0,,1.3243243243243243,,,,0.6471698113207547,2.0463320463320462,True,High Risk
0000040888-22-000005,40888,"AEROJET ROCKETDYNE HOLDINGS, INC.",US,CA,EL SEGUNDO,2022-02-18 06:34:00.0,10-K,20211231.0,2021.0,FY,99100000.0,75600000.0,,,583000000.0,13600000.0,363800000.0,137700000.0,,,-239400000.0,133900000.0,-0.575187969924812,1.0283793876026885,3.956896551724138,0.7628657921291625,-1.559314954051796,,,True,High Risk
0000040987-22-000013,40987,GENUINE PARTS CO,US,GA,ATLANTA,2022-02-17 15:06:00.0,10-K,20211231.0,2021.0,FY,,,,,,92206000.0,,228585000.0,,28703000.0,-857739000.0,14645629000.0,-0.2664971512313186,0.015607728421906632,,,-18.074691718576396,,,True,High Risk
0000041719-22-000012,41719,GLATFELTER CORP,US,NC,CHARLOTTE,2022-02-25 17:04:00.0,10-K,20211231.0,2021.0,FY,127505000.0,170212000.0,,,64779000.0,9753000.0,108993000.0,4658000.0,,3543000.0,1988000.0,1286881000.0,2.3430583501006037,0.0036196042990766044,0.004017678475317757,1.3349437276969531,646.3244466800804,,,True,High Risk
0000042888-22-000013,42888,GRACO INC,US,MN,MINNEAPOLIS,2022-02-22 12:23:00.0,10-K,20211231.0,2021.0,FY,78432000.0,302000000.0,,,671206000.0,17900000.0,456896000.0,343853000.0,840659000.0,25153000.0,,436198000.0,,0.7882956822360487,0.9611114527372641,3.85046919624643,,0.40902791738386196,1.9272417571836642,True,High Risk
0000045012-22-000013,45012,HALLIBURTON CO,US,TX,HOUSTON,2022-02-04 13:15:00.0,10-K,20211231.0,2021.0,FY,1573000000.0,,,,32000000.0,,1881000000.0,-1131000000.0,,218000000.0,4974000000.0,22321000000.0,-0.22738238841978287,-0.050669772859638904,-0.05451127819548872,,3.487535182951347,,,True,High Risk
0000045876-22-000009,45876,HARSCO CORP,US,PA,CAMP HILL,2022-02-24 14:36:00.0,10-K,20211231.0,2021.0,FY,186126000.0,377881000.0,,,215528000.0,32000000.0,53818000.0,-3249000.0,169522000.0,1800000.0,748160000.0,1279387000.0,-0.004342653977758768,-0.0025394974311916565,-0.002971842954244229,2.0302429536980324,0.7100446428571429,-0.01916565401540803,0.1325025187843866,True,High Risk
