adsh,cik,name,countryba,stprba,cityba,accepted,form,period,fy,fp,Accounts Payable (Current),Accounts Receivable (Current),Accrued Liabilities (Current),Additional Paid-in Capital,Amortization of Intangibles,Cash From Ops,Net Income,Revenue,Share-based Compensation Expense,Shareholder Equity,Total Assets,ROE,ROA,ROI,Current Ratio,Debt to Equity,Profit Margin,Asset Turnover,Risk Flag,Risk Category,Accumulated Depreciation/Amortization
0000005513-25-000015,5513,UNUM GROUP,US,TN,CHATTANOOGA,2025-02-27 16:26:00.0,10-K,20241231.0,2024.0,FY,,,,1547800000.0,,1418700000.0,1407200000.0,11984100000.0,52700000.0,2408100000.0,63255200000.0,0.584361114571654,0.0222463923914555,,,25.26767991362485,0.1174222511494396,0.1894563608999734,True,High Risk,
0000006201-25-000010,6201,AMERICAN AIRLINES GROUP INC.,US,TX,FORT WORTH,2025-02-19 16:36:00.0,10-K,20241231.0,2024.0,FY,2353000000.0,2026000000.0,,7374000000.0,,2173000000.0,127000000.0,,78000000.0,-7340000000.0,63058000000.0,-0.0173024523160762,0.0020140188397982,0.0020920846717733,0.8610284742881428,-9.59100817438692,,,True,High Risk,
0000006281-25-000023,6281,ANALOG DEVICES INC,US,MA,WILMINGTON,2025-02-19 07:15:00.0,10-Q,20250131.0,2025.0,Q1,487457000.0,1336331000.0,1106070000.0,25082243000.0,440903000.0,1138832000.0,462727000.0,,,25313914000.0,48228277000.0,0.0182795517121532,0.0095945165115477,0.009692481193243,2.7414336033742464,0.9052082186895316,,,True,High Risk,
0000006951-25-000011,6951,APPLIED MATERIALS INC /DE,US,CA,SANTA CLARA,2025-02-20 16:03:00.0,10-Q,20250131.0,2025.0,Q1,1570000000.0,5234000000.0,,9660000000.0,,2325000000.0,2019000000.0,,170000000.0,16349000000.0,34409000000.0,0.1234937916692152,0.058676509052864,0.061481774719084,3.3337579617834394,1.104654718943055,,,True,High Risk,
0000007084-25-000011,7084,ARCHER-DANIELS-MIDLAND CO,US,IL,CHICAGO,2025-02-20 16:02:00.0,10-K,20241231.0,2024.0,FY,6313000000.0,4232000000.0,1045000000.0,,235000000.0,3478000000.0,4340000000.0,101556000000.0,147000000.0,,54631000000.0,,0.0794420750123556,0.0898215985761,0.6703627435450658,,0.0427350427350427,1.8589445552891213,True,High Risk,
0000007789-25-000013,7789,ASSOCIATED BANC-CORP,US,WI,GREEN BAY,2025-02-12 16:17:00.0,10-K,20241231.0,2024.0,FY,,,,1714822000.0,8811000.0,846566000.0,366122000.0,380475000.0,16000000.0,4024853000.0,12073694000.0,0.0909653097889537,0.0303239422831156,,,1.999785085318644,0.9622761022406204,0.0315127251030214,True,High Risk,
0000008818-25-000003,8818,AVERY DENNISON CORP,US,OH,MENTOR,2025-02-26 13:37:00.0,10-K,20241231.0,2024.0,FY,1277100000.0,1414900000.0,,854500000.0,81800000.0,961000000.0,757100000.0,,47400000.0,1924400000.0,8209800000.0,0.3934213261276242,0.0922190552754025,0.1092070910323539,1.1079007125518754,3.266160881313656,,,True,High Risk,
0000010048-25-000009,10048,BARNWELL INDUSTRIES INC,US,HI,HONOLULU,2025-02-14 16:06:00.0,10-Q,20241231.0,2025.0,Q1,1822000.0,2931000.0,,7690000.0,,1375000.0,-664000.0,6155000.0,30000.0,13040000.0,30669000.0,-0.050920245398773,-0.0216505265903681,-0.0230179914722501,1.6086717892425906,1.3519171779141104,-0.1078797725426482,0.200691251752584,True,High Risk,
0000010795-25-000022,10795,BECTON DICKINSON & CO,US,NJ,FRANKLIN LAKES,2025-02-06 17:04:00.0,10-Q,20241231.0,2025.0,Q1,,3033000000.0,,19893000000.0,365000000.0,,281000000.0,4706000000.0,,19720000000.0,57286000000.0,0.0142494929006085,0.0049052124428307,,,1.9049695740365111,0.0597110072248193,0.0821492162133854,True,High Risk,
0000011544-25-000005,11544,BERKLEY W R CORP,US,CT,GREENWICH,2025-02-24 16:19:00.0,10-K,20241231.0,2024.0,FY,,,,964789000.0,,2568604000.0,1381062000.0,11166499000.0,,7455431000.0,37202015000.0,0.1852424091913666,0.0371233117345928,,,3.989921441161484,0.1236790510615726,0.3001584457185988,True,High Risk,
0000012208-25-000007,12208,"BIO-RAD LABORATORIES, INC.",US,CA,HERCULES,2025-02-14 16:31:00.0,10-K,20241231.0,2024.0,FY,144600000.0,489000000.0,,,24900000.0,194400000.0,-3627500000.0,,60900000.0,13685200000.0,448800000.0,-0.2650673720515593,-8.082664884135472,-11.924720578566731,3.381742738589212,-0.9672054482214364,,,True,High Risk,
0000012927-25-000015,12927,BOEING CO,US,VA,ARLINGTON,2025-02-03 14:38:00.0,10-K,20241231.0,2024.0,FY,11964000000.0,2649000000.0,22331000000.0,,235000000.0,3512000000.0,-4935000000.0,66608000000.0,726000000.0,-17233000000.0,137012000000.0,0.2863691754192538,-0.0360187428838349,-0.0394648454993282,0.2214142427281845,-8.950559972146463,-0.0740901993754504,0.4861471987855078,True,High Risk,
0000014272-25-000039,14272,BRISTOL MYERS SQUIBB CO,US,NJ,PRINCETON,2025-02-12 12:52:00.0,10-K,20241231.0,2024.0,FY,3259000000.0,8882000000.0,,,9700000000.0,13066000000.0,6327000000.0,46159000000.0,457000000.0,44361000000.0,95159000000.0,0.1426252789612497,0.0664887188810307,0.0688465723612622,2.7253758821724454,1.145104934514551,0.1370696938841829,0.485072352588825,False,Low Risk,
0000014930-25-000025,14930,BRUNSWICK CORP,US,IL,METTAWA,2025-02-14 14:23:00.0,10-K,20241231.0,2024.0,FY,558000000.0,,739400000.0,392000000.0,63300000.0,586100000.0,677000000.0,6812200000.0,18200000.0,1914200000.0,6230500000.0,0.3536725525023508,0.1086590161303266,0.1193477302776553,,2.254884547069272,0.0993805231790023,1.093363293475644,True,High Risk,
0000015615-25-000021,15615,MASTEC INC,US,FL,CORAL GABLES,2025-02-28 06:07:00.0,10-K,20241231.0,2024.0,FY,1242602000.0,1370074000.0,415075000.0,1263360000.0,169200000.0,352297000.0,33354000.0,9778038000.0,27400000.0,2706152000.0,9293300000.0,0.0123252500229107,0.0035890372634048,0.0041429948061646,1.102584737510482,2.4341382154439217,0.0034111137633132,1.0521599431848752,True,High Risk,
0000016868-25-000011,16868,CANADIAN NATIONAL RAILWAY CO,CA,QC,CANADA,2025-02-04 16:13:00.0,6-K,20241231.0,2024.0,FY,,1300000000.0,51000000.0,,,6667000000.0,5118000000.0,,63000000.0,22744000000.0,52666000000.0,0.2250263805838902,0.0971784452967759,,,1.3155997186071051,,,True,High Risk,
0000016875-25-000008,16875,CANADIAN PACIFIC KANSAS CITY LTD/CN,CA,AB,CALGARY ALBERTA,2025-02-27 11:25:00.0,10-K,20241231.0,2024.0,FY,,1887000000.0,667000000.0,88000000.0,61000000.0,4142000000.0,3517000000.0,8814000000.0,113000000.0,0.0,79902000000.0,,0.0440164201146404,,,,0.399024279555253,0.1103101299091387,True,High Risk,
0000017313-25-000012,17313,CAPITAL SOUTHWEST CORP,US,TX,DALLAS,2025-02-04 16:06:00.0,10-Q,20241231.0,2025.0,Q3,,,,,,-86403000.0,23484000.0,,1188000.0,590408000.0,1556758000.0,0.0397758837956125,0.0150851962861279,,,1.6367495020392675,,,True,High Risk,
0000018230-25-000008,18230,CATERPILLAR INC,US,TX,IRVING,2025-02-14 09:37:00.0,10-K,20241231.0,2024.0,FY,7906000000.0,9310000000.0,4958000000.0,,284000000.0,7766000000.0,,59427000000.0,193000000.0,,87476000000.0,,,,1.177586643055907,,,0.6793520508482327,True,High Risk,
0000018349-25-000049,18349,SYNOVUS FINANCIAL CORP,US,GA,COLUMBUS,2025-02-21 11:22:00.0,10-K,20241231.0,2024.0,FY,,,,,8500000.0,1191489000.0,757902000.0,,26751000.0,-82321000.0,59809534000.0,-9.206666585682877,0.0126719261848788,,,-727.5404210347299,,,True,High Risk,
0000018926-25-000010,18926,"LUMEN TECHNOLOGIES, INC.",US,LA,MONROE,2025-02-20 16:17:00.0,10-K,20241231.0,2024.0,FY,1134000000.0,1318000000.0,,,1100000000.0,4735000000.0,-1548000000.0,17478000000.0,98000000.0,18972000000.0,34018000000.0,-0.0815939278937381,-0.0455053207125639,-0.047074565138061,1.162257495590829,0.7930634619439173,-0.0885684860968074,0.5137868187430183,True,High Risk,
0000019617-25-000270,19617,JPMORGAN CHASE & CO,US,NY,NEW YORK,2025-02-14 16:17:00.0,10-K,20241231.0,2024.0,FY,,,,90128000000.0,315000000.0,107119000000.0,37676000000.0,128695000000.0,,88415000000.0,3665743000000.0,0.4261267884408754,0.0102778618140988,,,40.460645818017305,0.2927541862543222,0.035107480257072,True,High Risk,
0000020212-25-000051,20212,CHURCHILL DOWNS INC,US,KY,LOUISVILLE,2025-02-19 17:47:00.0,10-K,20241231.0,2024.0,FY,158500000.0,106900000.0,,,4700000.0,,439400000.0,441600000.0,31800000.0,306800000.0,6955500000.0,1.4322033898305084,0.0631730285385666,0.0646461674268059,0.6744479495268139,21.671121251629724,0.9950181159420288,0.0634893249946085,True,High Risk,
0000020286-25-000009,20286,CINCINNATI FINANCIAL CORP,US,OH,FAIRFIELD,2025-02-24 14:41:00.0,10-K,20241231.0,2024.0,FY,,,,1437000000.0,,2052000000.0,-487000000.0,6563000000.0,,1356000000.0,32769000000.0,-0.3591445427728613,-0.0148616070066221,,,23.16592920353982,-0.0742038701813195,0.2002807531508438,True,High Risk,
0000021076-25-000013,21076,CLOROX CO /DE/,US,CA,OAKLAND,2025-02-03 16:45:00.0,10-Q,20241231.0,2025.0,Q2,,,,1288000000.0,,173000000.0,93000000.0,,,-493000000.0,5751000000.0,-0.1886409736308316,0.0161711006781429,,,-12.665314401622718,,,True,High Risk,
0000021175-25-000008,21175,CNA FINANCIAL CORP,US,IL,CHICAGO,2025-02-11 10:26:00.0,10-K,20241231.0,2024.0,FY,,,,2221000000.0,,2502000000.0,682000000.0,11879000000.0,36000000.0,2215000000.0,64711000000.0,0.3079006772009029,0.0105391664477445,,,28.21489841986456,0.0574122400875494,0.1835700267342492,True,High Risk,
0000021344-25-000011,21344,COCA COLA CO,US,GA,ATLANTA,2025-02-20 15:17:00.0,10-K,20241231.0,2024.0,FY,,3410000000.0,,19209000000.0,,11018000000.0,9542000000.0,43004000000.0,361000000.0,18116000000.0,97703000000.0,0.5267167145065136,0.0976633266122841,,,4.393188341797306,0.2218863361547763,0.4401502512717112,True,High Risk,
0000021665-25-000008,21665,COLGATE PALMOLIVE CO,US,NY,NEW YORK,2025-02-13 16:05:00.0,10-K,20241231.0,2024.0,FY,1698000000.0,1586000000.0,,,80000000.0,2556000000.0,1785000000.0,,125000000.0,609000000.0,16393000000.0,2.931034482758621,0.1088879399743793,0.1214698877169105,0.934040047114252,25.917898193760266,,,True,High Risk,
0000022356-25-000016,22356,COMMERCE BANCSHARES INC /MO/,US,MO,KANSAS CITY,2025-02-25 15:21:00.0,10-K,20241231.0,2024.0,FY,,,,,2000000.0,559385000.0,488399000.0,82000.0,17000000.0,2944116000.0,31701061000.0,0.165889863035288,0.0154063928648949,,,9.76759917068485,5956.085365853659,2.586664212910729e-06,True,High Risk,
0000024545-25-000007,24545,MOLSON COORS BEVERAGE CO,US,CO,GOLDEN,2025-02-18 16:36:00.0,10-K,20241231.0,2024.0,FY,1980800000.0,757800000.0,,,208100000.0,1502000000.0,-175300000.0,,33600000.0,13196000000.0,26375100000.0,-0.0132843285844195,-0.0066464202979325,-0.0071861049507466,0.3825726978998384,0.9987193088814792,,,True,High Risk,
0000025232-25-000012,25232,COUSINS PROPERTIES INC,US,GA,ATLANTA,2025-02-06 16:22:00.0,10-K,20241231.0,2024.0,FY,,,,5638709000.0,21400000.0,365166000.0,166793000.0,762290000.0,9982000.0,4524151000.0,7634474000.0,0.0368672486837861,0.0218473466541375,,,0.6874931893298876,0.2188051791313017,0.0998483982000593,True,High Risk,
0000026172-25-000007,26172,CUMMINS INC,US,IN,COLUMBUS,2025-02-11 15:58:00.0,10-K,20241231.0,2024.0,FY,32000000.0,,3754000000.0,,142000000.0,1962000000.0,,28074000000.0,33000000.0,8850000000.0,32005000000.0,,,,,2.6163841807909605,,0.8771754413372911,True,High Risk,
0000026324-25-000015,26324,CURTISS WRIGHT CORP,US,NC,DAVIDSON,2025-02-13 16:01:00.0,10-K,20241231.0,2024.0,FY,243833000.0,,188039000.0,140182000.0,61000000.0,294776000.0,294348000.0,,15384000.0,127104000.0,4620969000.0,2.3158043806646527,0.063698328207785,0.0672467110914534,,35.35581098942598,,,True,High Risk,
0000027904-25-000004,27904,"DELTA AIR LINES, INC.",US,GA,ATLANTA,2025-02-11 17:02:00.0,10-K,20241231.0,2024.0,FY,4446000000.0,,,11641000000.0,9000000.0,6363000000.0,1318000000.0,,150000000.0,3887000000.0,72288000000.0,0.3390789812194494,0.0182326250553342,0.0194274932932401,,17.597375868278878,,,True,High Risk,
0000027996-25-000051,27996,DELUXE CORP,US,MN,MINNEAPOLIS,2025-02-21 10:11:00.0,10-K,20241231.0,2024.0,FY,154863000.0,191005000.0,191427000.0,,,191531000.0,65395000.0,2238010000.0,,,3080622000.0,,0.0212278559329901,0.0223514650386446,1.2333804717718242,,0.0292201554059186,0.7264799121735805,True,High Risk,
0000028412-25-000108,28412,COMERICA INC /NEW/,US,TX,DALLAS,2025-02-24 16:29:00.0,10-K,20241231.0,2024.0,FY,,,,2224000000.0,0.0,638000000.0,,1189000000.0,60000000.0,,85834000000.0,,,,,,,0.0138523195936342,True,High Risk,
0000028823-25-000022,28823,"DIEBOLD NIXDORF, INC",US,OH,NORTH CANTON,2025-02-25 16:26:00.0,10-K,20241231.0,2024.0,FY,529000000.0,,,1038700000.0,69600000.0,-387900000.0,-581400000.0,3460700000.0,13400000.0,1063800000.0,4162000000.0,-0.5465313028764806,-0.1396924555502162,-0.1600330305532617,,2.9123895469073133,-0.1680006935013147,0.8314992791926958,True,High Risk,
0000029905-25-000006,29905,DOVER CORP,US,IL,DOWNERS GROVE,2025-02-14 16:24:00.0,10-K,20241231.0,2024.0,FY,854465000.0,1321107000.0,64568000.0,886690000.0,151938000.0,,1065376000.0,,,4189528000.0,11348513000.0,0.2542949945674071,0.093878026134349,0.1015219293832084,1.5461218423223888,1.708780798218797,,,True,High Risk,
0000029915-25-000003,100790,UNION CARBIDE CORP /NEW/,US,TX,SEADRIFT,2025-02-04 07:46:00.0,10-K,20241231.0,2024.0,FY,,16000000.0,,1034000000.0,,1194000000.0,594000000.0,5449000000.0,,,5272000000.0,,0.1126707132018209,,,,0.1090108276748027,1.0335735963581183,True,High Risk,
0000029989-25-000009,29989,OMNICOM GROUP INC.,US,NY,NEW YORK,2025-02-04 18:15:00.0,10-K,20241231.0,2024.0,FY,11634000000.0,8659800000.0,,492000000.0,80300000.0,926500000.0,1316500000.0,14289100000.0,81700000.0,3616300000.0,28044600000.0,0.3640461244918839,0.0469430835169694,0.0802225390905878,0.7443527591542032,6.755053507728894,0.0921331644400277,0.5095134179128958,True,High Risk,
0000030625-25-000039,30625,FLOWSERVE CORP,US,TX,IRVING,2025-02-26 16:02:00.0,10-K,20241231.0,2024.0,FY,547824000.0,881869000.0,504430000.0,506525000.0,11400000.0,-40010000.0,188689000.0,0.0,25500000.0,1936100000.0,4790634000.0,0.0974582924435721,0.0393870623387217,0.0444726490226995,1.609767005461608,1.4743732245235266,,0.0,True,High Risk,
0000030697-25-000003,30697,WENDY'S CO,US,OH,DUBLIN,2025-02-21 07:18:00.0,10-K,20241231.0,2024.0,FY,27370000.0,104797000.0,135149000.0,,58690000.0,259904000.0,177370000.0,2095505000.0,24538000.0,436405000.0,5182826000.0,0.4064343900734409,0.0342226422418966,0.0344043281525436,3.828900255754476,10.876183820075388,0.0846430812620347,0.4043170656317615,True,High Risk,
0000031791-25-000009,31791,"REVVITY, INC.",US,MA,WALTHAM,2025-02-25 16:16:00.0,10-K,20241231.0,2024.0,FY,204121000.0,632811000.0,524470000.0,2416793000.0,370600000.0,679810000.0,569179000.0,,51518000.0,7141245000.0,13564665000.0,0.0797030489781543,0.0419604170099298,0.0426014838916738,3.1001758760735054,0.8994818130452042,,,True,High Risk,
0000032604-25-000012,32604,EMERSON ELECTRIC CO,US,MO,ST LOUIS,2025-02-05 06:55:00.0,10-Q,20241231.0,2025.0,Q1,1335000000.0,2927000000.0,3875000000.0,,34000000.0,415000000.0,142000000.0,1700000000.0,30000000.0,21636000000.0,44246000000.0,0.0065631355148826,0.0032093296569181,0.0033091748036633,2.1925093632958803,1.045017563320392,0.0835294117647058,0.0384215522307101,False,Low Risk,
0000033185-25-000025,33185,EQUIFAX INC,US,GA,ATLANTA,2025-02-20 16:26:00.0,10-K,20241231.0,2024.0,FY,197600000.0,908200000.0,245100000.0,1761300000.0,236700000.0,757100000.0,696200000.0,,,4534100000.0,12280000000.0,0.1535475618093998,0.0566938110749185,0.0576210024498444,4.596153846153846,1.7083654970115347,,,True,High Risk,
0000033213-25-000011,33213,EQT CORP,US,PA,PITTSBURGH,2025-02-19 16:16:00.0,10-K,20241231.0,2024.0,FY,1272522000.0,823695000.0,,,,3465560000.0,1770965000.0,7497689000.0,67411000.0,14773200000.0,22669926000.0,0.1198768716324154,0.0781195756880723,0.0827654139726482,0.6472933277381452,0.5345305011778084,0.2362014482062406,0.3307328396219732,True,High Risk,
0000034067-25-000028,34067,DMC GLOBAL INC.,US,CO,BROOMFIELD,2025-02-24 16:26:00.0,10-K,20241231.0,2024.0,FY,40202000.0,106205000.0,10830000.0,,36926000.0,44936000.0,12247000.0,,10058000.0,294515000.0,884495000.0,0.0415836205286657,0.0138463190860321,0.0145056277856147,2.6417839908462266,2.003225642157445,,,True,High Risk,
0000034088-25-000010,34088,EXXON MOBIL CORP,US,TX,SPRING,2025-02-19 16:40:00.0,10-K,20241231.0,2024.0,FY,,30296000000.0,,,,76797000000.0,55740000000.0,413680000000.0,648000000.0,204802000000.0,369067000000.0,0.2721653108856359,0.151029487870766,,,0.8020673626234118,0.1347418294333784,1.120880490534239,True,High Risk,
0000034563-25-000018,34563,FARMER BROTHERS CO,US,TX,FORT WORTH,2025-02-06 17:04:00.0,10-Q,20241231.0,2025.0,Q2,48478000.0,,,,600000.0,-10867000.0,-1307000.0,,22000.0,38112000.0,185213000.0,-0.0342936607892527,-0.0070567400776403,-0.009558635316488,,3.859702980688497,,,True,High Risk,
0000034782-25-000025,34782,1ST SOURCE CORP,US,IN,SOUTH BEND,2025-02-18 16:03:00.0,10-K,20241231.0,2024.0,FY,,,,,20000.0,175530000.0,120532000.0,51829000.0,3590000.0,989568000.0,8727958000.0,0.1218026451946708,0.0138098739705209,,,7.819967905186909,2.325570626483243,0.0059382733051648,True,High Risk,
0000034903-25-000016,34903,FEDERAL REALTY INVESTMENT TRUST,US,MD,NORTH BETHESDA,2025-02-13 16:13:00.0,10-K,20241231.0,2024.0,FY,,,,3959276000.0,3437000.0,516769000.0,385491000.0,1074378000.0,15018000.0,2963509000.0,8436512000.0,0.1300792405219623,0.0456931727235141,,,1.8467981706821204,0.3588038846662906,0.1273486009383972,True,High Risk,
0000035527-25-000079,35527,FIFTH THIRD BANCORP,US,OH,CINCINNATI,2025-02-24 17:25:00.0,10-K,20241231.0,2024.0,FY,,,,,48000000.0,6428000000.0,2446000000.0,,165000000.0,22210000000.0,214574000000.0,0.1101305718144979,0.0113993307670081,,,8.661143628995948,,,True,High Risk,
0000036104-25-000016,36104,US BANCORP DE,US,MN,MINNEAPOLIS,2025-02-21 16:55:00.0,10-K,20241231.0,2024.0,FY,,,,8673000000.0,215000000.0,21119000000.0,5825000000.0,24302000000.0,202000000.0,55306000000.0,663491000000.0,0.1053231114164828,0.0087793202922119,,,10.99672729902723,0.2396922064027652,0.0366274749770531,True,High Risk,
0000036966-25-000024,36966,FIRST HORIZON CORP,US,TN,MEMPHIS,2025-02-27 16:37:00.0,10-K,20241231.0,2024.0,FY,,,,5351000000.0,51000000.0,2291000000.0,900000000.0,3207000000.0,,8996000000.0,81661000000.0,0.1000444642063139,0.0110211728977112,,,8.077478879502001,0.2806361085126286,0.0392721127588444,True,High Risk,
0000037785-25-000030,37785,FMC CORP,US,PA,PHILADELPHIA,2025-02-28 13:40:00.0,10-K,20241231.0,2024.0,FY,602400000.0,,684800000.0,935600000.0,60600000.0,,736500000.0,,,4410900000.0,11926200000.0,0.1669727266544242,0.0617547919706193,0.0650400042388597,,1.7038019451812556,,,True,High Risk,
0000037808-25-000071,37808,FNB CORP/PA/,US,PA,PITTSBURGH,2025-02-27 17:24:00.0,10-K,20241231.0,2024.0,FY,,,,4692000000.0,14000000.0,1218000000.0,439000000.0,,22000000.0,5150000000.0,43725000000.0,0.0852427184466019,0.0100400228702115,,,7.490291262135922,,,True,High Risk,
0000037996-25-000013,37996,FORD MOTOR CO,US,MI,DEARBORN,2025-02-05 20:44:00.0,10-K,20241231.0,2024.0,FY,,15601000000.0,,23128000000.0,,6853000000.0,-1981000000.0,158057000000.0,,48519000000.0,255884000000.0,-0.0408293658154537,-0.0077417892482531,,,4.273892701828149,-0.0125334531213423,0.6176900470525707,True,High Risk,
0000038009-25-000007,38009,FORD MOTOR CREDIT CO LLC,US,MI,DEARBORN,2025-02-05 20:48:00.0,10-K,20241231.0,2024.0,FY,,,,,,3485000000.0,1989000000.0,9416000000.0,,12376000000.0,138576000000.0,0.1607142857142857,0.0143531347419466,,,10.19715578539108,0.2112361937128292,0.0679482738713774,True,High Risk,
0000038725-25-000026,38725,FRANKLIN ELECTRIC CO INC,US,IN,FORT WAYNE,2025-02-21 16:08:00.0,10-K,20241231.0,2024.0,FY,152419000.0,222418000.0,100200000.0,344717000.0,17200000.0,101674000.0,187332000.0,,11000000.0,1206722000.0,1694200000.0,0.1552403950537075,0.1105725416125605,0.121503637676168,1.4592537675749089,0.4039687682830014,,,True,High Risk,
0000039263-25-000017,39263,"CULLEN/FROST BANKERS, INC.",US,TX,SAN ANTONIO,2025-02-06 16:22:00.0,10-K,20241231.0,2024.0,FY,,,,1055809000.0,,722582000.0,579150000.0,1696101000.0,18322000.0,4439555000.0,50845038000.0,0.1304522637967093,0.0113904920279536,,,10.45273298787829,0.3414596182656575,0.0333582403852269,True,High Risk,
0000040211-25-000024,40211,GATX CORP,US,IL,CHICAGO,2025-02-19 16:20:00.0,10-K,20241231.0,2024.0,FY,,218400000.0,,,,533500000.0,155900000.0,1273000000.0,12700000.0,763800000.0,10072000000.0,0.2041110238282273,0.0154785544082605,,,12.186698088504844,0.1224666142969363,0.1263899920571882,True,High Risk,
0000040533-25-000008,40533,GENERAL DYNAMICS CORP,US,VA,RESTON,2025-02-07 15:26:00.0,10-K,20241231.0,2024.0,FY,3095000000.0,3004000000.0,,,202000000.0,4579000000.0,3390000000.0,39407000000.0,130000000.0,17641000000.0,51585000000.0,0.1921659769854316,0.0657167781331782,0.0699113219220457,0.9705977382875606,1.924153959526104,0.0860253254497931,0.7639236212077154,True,High Risk,
0000040545-25-000015,40545,GENERAL ELECTRIC CO,US,OH,EVENDALE,2025-02-03 06:31:00.0,10-K,20241231.0,2024.0,FY,7516000000.0,,,,338000000.0,5917000000.0,336000000.0,29139000000.0,143000000.0,27403000000.0,173300000000.0,0.0122614312301572,0.001938834391229,0.0020267335810452,,5.324125095792431,0.0115309379182538,0.1681419503750721,True,High Risk,
