adsh,cik,name,countryba,stprba,cityba,accepted,form,period,fy,fp,Accounts Payable (Current),Accounts Receivable (Current),Accrued Liabilities (Current),Accumulated Depreciation/Amortization,Additional Paid-in Capital,Amortization of Intangibles,Cash From Ops,Net Income,Revenue,Share-based Compensation Expense,Shareholder Equity,Total Assets,ROE,ROA,ROI,Current Ratio,Debt to Equity,Profit Margin,Asset Turnover,Risk Flag,Risk Category,Ticker,AvgPrice_2021,AvgPrice_2022,Performance
0000005513-22-000030,5513,UNUM GROUP,US,TN,CHATTANOOGA,2022-02-25 16:22:00.0,10-K,20211231.0,2021.0,FY,,,,,2376200000.0,,1606600000.0,-64400000.0,1026300000.0,600000.0,-18900000.0,4206200000.0,3.4074074074074074,-0.0153107317769007,,,-223.55026455026456,-0.0627496833284614,0.2439969568731872,True,High Risk,UNM,26.854166666666668,35.10450199203187,Low Risk
0000006201-22-000026,6201,AMERICAN AIRLINES GROUP INC.,US,TX,FORT WORTH,2022-02-22 08:03:00.0,10-K,20211231.0,2021.0,FY,1772000000.0,,,,6894000000.0,41000000.0,3190000000.0,1972000000.0,,91000000.0,-7194000000.0,69215000000.0,-0.2741173199888796,0.0284909340460882,0.0292395059531752,,-10.62121212121212,,,True,High Risk,AAL,20.343214285714286,15.2699203187251,High Risk
0000006281-22-000020,6281,ANALOG DEVICES INC,US,MA,WILMINGTON,2022-02-16 07:12:00.0,10-Q,20220131.0,2022.0,Q1,443434000.0,1459056000.0,1385259000.0,,30093961000.0,504645000.0,427941000.0,2938000.0,,,7395578000.0,51215614000.0,0.0003972644193597,5.736531831874553e-05,5.786633546166424e-05,3.2903566257887307,5.925167174222218,,,True,High Risk,ADI,164.8708333333333,158.40462151394425,Low Risk
0000006951-22-000011,6951,APPLIED MATERIALS INC /DE,US,CA,SANTA CLARA,2022-02-24 16:02:00.0,10-Q,20220131.0,2022.0,Q1,1502000000.0,4405000000.0,,,8247000000.0,12000000.0,2658000000.0,1130000000.0,,18000000.0,11473000000.0,25428000000.0,0.0984921119149307,0.0444392008809186,0.0472289559475048,2.932756324900133,1.2163340015689008,,,True,High Risk,AMAT,131.51373015873017,109.76972111553785,High Risk
0000007084-22-000008,7084,ARCHER-DANIELS-MIDLAND CO,US,IL,CHICAGO,2022-02-17 07:17:00.0,10-K,20211231.0,2021.0,FY,6388000000.0,3311000000.0,931000000.0,,,173000000.0,-5452000000.0,1772000000.0,31705000000.0,161000000.0,,25976000000.0,,0.0682168155220203,0.090463549111701,0.5183155917345021,,0.0558902381327866,1.220549738219895,True,High Risk,ADM,60.784841269841266,84.99326693227091,Low Risk
0000007789-22-000007,7789,ASSOCIATED BANC-CORP,US,WI,GREEN BAY,2022-02-08 16:20:00.0,10-K,20211231.0,2021.0,FY,,,,,1720329000.0,10192000.0,574260000.0,326790000.0,476978000.0,1000000.0,-33183000.0,4323605000.0,-9.848114998643885,0.0755827602197703,,,-131.29578398577584,0.6851259387225407,0.1103195134615673,True,High Risk,ASB,21.324682539682538,21.900478087649404,Low Risk
0000009984-22-000047,9984,BARNES GROUP INC,US,CT,BRISTOL,2022-02-22 12:52:00.0,10-K,20211231.0,2021.0,FY,112428000.0,,175583000.0,,501531000.0,41066000.0,248301000.0,-12787000.0,,11470000.0,643000.0,704300000.0,-19.88646967340591,-0.0181556155047564,-0.0216043333693771,,1094.334370139969,,,True,High Risk,,,,
0000010048-22-000006,10048,BARNWELL INDUSTRIES INC,US,HI,HONOLULU,2022-02-11 16:30:00.0,10-Q,20211231.0,2022.0,Q1,3000.0,2990000.0,,,4846000.0,,909000.0,584000.0,0.0,,9499000.0,1419000.0,0.0614801558058743,0.4115574348132487,0.4124293785310734,996.6666666666666,-0.8506158543004527,,0.0,True,High Risk,BRN,2.681626984126984,2.8389243027888442,Low Risk
0000010795-22-000017,10795,BECTON DICKINSON & CO,US,NJ,FRANKLIN LAKES,2022-02-03 11:38:00.0,10-Q,20211231.0,2022.0,Q1,,2497000000.0,,,19435000000.0,355000000.0,1533000000.0,1003000000.0,192000000.0,,23000000.0,53363000000.0,43.60869565217392,0.0187957948391207,,,2319.1304347826085,5.223958333333333,0.0035979986132713,True,High Risk,BDX,242.04190476190476,248.98011952191237,Low Risk
0000011544-22-000007,11544,BERKLEY W R CORP,US,CT,GREENWICH,2022-02-24 16:51:00.0,10-K,20211231.0,2021.0,FY,,,,,1016372000.0,,292631000.0,-242055000.0,692000000.0,,6653011000.0,4916894000.0,-0.0363827746564675,-0.049229249196749,,,-0.2609520711749913,-0.3497904624277456,0.1407392553103646,True,High Risk,WRB,33.499920634920635,44.25772908366534,Low Risk
0000012208-22-000011,12208,"BIO-RAD LABORATORIES, INC.",US,CA,HERCULES,2022-02-11 16:36:00.0,10-K,20211231.0,2021.0,FY,141941000.0,419424000.0,,,,23500000.0,575328000.0,3806267000.0,,2900000.0,13507241000.0,16800000.0,0.2817945574525545,226.5635119047619,-30.41582694720356,2.9549178884184277,-0.9987562226808568,,,True,High Risk,BIO,675.8090476190476,505.9841035856573,High Risk
0000014272-22-000051,14272,BRISTOL MYERS SQUIBB CO,US,NY,NEW YORK,2022-02-09 11:45:00.0,10-K,20211231.0,2021.0,FY,2949000000.0,7219000000.0,,,,1300000000.0,16207000000.0,6994000000.0,615000000.0,71000000.0,-1520000000.0,118481000000.0,-4.601315789473684,0.0590305618622395,0.060537340303985,2.4479484571041032,-78.94802631578948,11.372357723577236,0.0051907056827677,True,High Risk,BMY,62.98527777777778,72.82,Low Risk
0000014930-22-000041,14930,BRUNSWICK CORP,US,IL,METTAWA,2022-02-16 15:45:00.0,10-K,20211231.0,2021.0,FY,457600000.0,,711300000.0,,383800000.0,31600000.0,574000000.0,593300000.0,5846200000.0,16300000.0,76900000.0,609900000.0,7.715214564369311,0.9727824233480898,3.895600787918582,,6.931079323797139,0.1014847251205911,9.585505820626333,True,High Risk,BC,97.77900793650792,77.92972111553784,High Risk
0000016868-22-000012,16868,CANADIAN NATIONAL RAILWAY CO,CA,QC,CANADA,2022-02-01 16:08:00.0,6-K,20211231.0,2021.0,FY,,1074000000.0,,,,,5923000000.0,4892000000.0,,20000000.0,-3483000000.0,44804000000.0,-1.404536319265001,0.1091866797607356,,,-13.863623313235715,,,True,High Risk,CNI,114.72353174603175,120.12665338645418,Low Risk
0000016875-22-000010,16875,CANADIAN PACIFIC RAILWAY LTD/CN,CA,AB,CALGARY ALBERTA,2022-02-23 12:44:00.0,10-K,20211231.0,2021.0,FY,,825000000.0,294000000.0,,55000000.0,3000000.0,2802000000.0,2440000000.0,2003000000.0,89000000.0,33829000000.0,23640000000.0,0.0721274646013775,0.1032148900169204,,,-0.3011912855833752,1.218172740888667,0.0847292724196277,True,High Risk,CP,73.45099206349207,74.60430278884462,Low Risk
0000017843-22-000005,17843,CARPENTER TECHNOLOGY CORP,US,PA,PHILADELPHIA,2022-02-02 16:24:00.0,10-Q,20211231.0,2022.0,Q2,170300000.0,307000000.0,163900000.0,,315900000.0,,171600000.0,-132000000.0,,,-192300000.0,2879900000.0,0.6864274570982839,-0.0458349248237786,-0.0487156775907883,1.802701115678215,-15.976079043161729,,,True,High Risk,CRS,36.66166666666667,35.417569721115534,Low Risk
0000018230-22-000050,18230,CATERPILLAR INC,US,IL,DEERFIELD,2022-02-16 10:51:00.0,10-K,20211231.0,2021.0,FY,8154000000.0,7317000000.0,3642000000.0,,,311000000.0,6327000000.0,,500000000.0,202000000.0,,4259000000.0,,,,0.8973509933774835,,,0.1173984503404555,True,High Risk,CAT,211.8801984126984,205.0780079681275,Low Risk
0000018349-22-000076,18349,SYNOVUS FINANCIAL CORP,US,GA,COLUMBUS,2022-02-25 17:01:00.0,10-K,20211231.0,2021.0,FY,,,,,,11600000.0,422203000.0,760467000.0,71760000.0,0.0,3894109000.0,5974909000.0,0.1952865212555683,0.1272767501563622,,,0.5343455974139398,10.597366220735786,0.0120102247582348,True,High Risk,SNV,44.64698412698412,42.80274900398406,Low Risk
0000018926-22-000007,18926,"LUMEN TECHNOLOGIES, INC.",US,LA,MONROE,2022-02-24 16:36:00.0,10-K,20211231.0,2021.0,FY,758000000.0,1544000000.0,,,,22000000.0,6501000000.0,-5269000000.0,20712000000.0,175000000.0,-2680000000.0,57993000000.0,1.966044776119403,-0.0908557929405273,-0.0920590547741766,2.0369393139841687,-22.639179104477613,-0.2543935882580146,0.3571465521700895,True,High Risk,LUMN,12.872420634920635,9.736414342629482,High Risk
0000019617-22-000272,19617,JPMORGAN CHASE & CO,US,NY,NEW YORK,2022-02-22 16:57:00.0,10-K,20211231.0,2021.0,FY,,,,,88394000000.0,,29387000000.0,7380000000.0,115720000000.0,,-112000000.0,391369000000.0,-65.89285714285714,0.0188568844236513,,,-3495.366071428572,0.0637746284134116,0.2956800359762781,True,High Risk,JPM,155.61242063492065,128.12908366533864,High Risk
0000020212-22-000056,20212,CHURCHILL DOWNS INC,US,KY,LOUISVILLE,2022-02-23 16:26:00.0,10-K,20211231.0,2021.0,FY,,42300000.0,,,,4900000.0,,249100000.0,687300000.0,,,2686400000.0,,0.0927263251935676,,,,0.3624327076967845,0.2558442525312686,True,High Risk,CHDN,108.28892857142856,104.1583266932271,Low Risk
0000020286-22-000012,20286,CINCINNATI FINANCIAL CORP,US,OH,FAIRFIELD,2022-02-24 12:23:00.0,10-K,20211231.0,2021.0,FY,,,,,1328000000.0,,1491000000.0,1997000000.0,652000000.0,,22000000.0,895000000.0,90.77272727272728,2.231284916201117,,,39.68181818181818,3.062883435582822,0.7284916201117319,True,High Risk,CINF,112.24880952380953,113.84764940239043,Low Risk
0000020520-22-000004,20520,"FRONTIER COMMUNICATIONS PARENT, INC.",US,CT,NORWALK,2022-02-25 16:03:00.0,10-K,20211231.0,2021.0,FY,518000000.0,553000000.0,,,4124000000.0,343000000.0,1451000000.0,414000000.0,2231000000.0,12000000.0,-4766000000.0,16481000000.0,-0.0868652958455728,0.0251198349614707,0.0259349746288291,1.0675675675675675,-4.458036088963492,0.1855670103092783,0.1353679995145925,True,High Risk,FYBR,29.123905325443786,25.644621513944223,High Risk
0000021076-22-000007,21076,CLOROX CO /DE/,US,CA,OAKLAND,2022-02-03 16:46:00.0,10-Q,20211231.0,2022.0,Q2,,604000000.0,,,1180000000.0,,222000000.0,211000000.0,,,-403000000.0,6190000000.0,-0.5235732009925558,0.0340872374798061,,,-16.359801488833746,,,True,High Risk,CLX,178.3009920634921,145.56115537848606,High Risk
0000021175-22-000016,21175,CNA FINANCIAL CORP,US,IL,CHICAGO,2022-02-08 15:16:00.0,10-K,20211231.0,2021.0,FY,,,,,2211000000.0,,980000000.0,690000000.0,1120000000.0,32000000.0,9348000000.0,66639000000.0,0.0738125802310654,0.0103542970332688,,,6.128690629011554,0.6160714285714286,0.0168069748945812,True,High Risk,CNA,44.43646825396826,43.49294820717131,Low Risk
0000021344-22-000009,21344,COCA COLA CO,US,GA,ATLANTA,2022-02-22 15:46:00.0,10-K,20211231.0,2021.0,FY,,3144000000.0,,,17601000000.0,203000000.0,10471000000.0,8920000000.0,-1248000000.0,201000000.0,18981000000.0,103056000000.0,0.4699436278383647,0.0865548827821766,,,4.42942942942943,-7.147435897435898,-0.0121099208197484,True,High Risk,KO,54.08424603174603,61.67976095617529,Low Risk
0000021510-22-000011,21510,COHERENT INC,US,CA,SANTA CLARA,2022-02-09 16:10:00.0,10-Q,20211231.0,2022.0,Q1,100424000.0,249389000.0,,,,1400000.0,74931000.0,30265000.0,148525000.0,29613000.0,868185000.0,1888930000.0,0.0348600816646221,0.0160222983382126,0.0169219449082083,2.4833605512626464,1.1757229161987364,0.2037704090220501,0.0786291710121603,False,Low Risk,,,,
0000021665-22-000003,21665,COLGATE PALMOLIVE CO,US,NY,NEW YORK,2022-02-17 16:18:00.0,10-K,20211231.0,2021.0,FY,1393000000.0,1297000000.0,,,,88000000.0,3325000000.0,2166000000.0,,107000000.0,609000000.0,13619000000.0,3.5566502463054186,0.1590425141346648,0.1771634222149517,0.9310839913854988,21.36288998357964,,,True,High Risk,CL,79.41285714285715,77.69187250996016,Low Risk
0000022356-22-000014,22356,COMMERCE BANCSHARES INC /MO/,US,MO,KANSAS CITY,2022-02-23 16:44:00.0,10-K,20211231.0,2021.0,FY,,,,,,1500000.0,512794000.0,421231000.0,,13900000.0,3437298000.0,3485083000.0,0.122547128587629,0.1208668487952797,,,0.0139019078357477,,,True,High Risk,CBSH,60.18396825396825,60.33908366533864,Low Risk
0000023194-22-000011,23194,COMSTOCK RESOURCES INC,US,TX,FRISCO,2022-02-17 15:41:00.0,10-K,20211231.0,2021.0,FY,259284000.0,125000000.0,133019000.0,,,,575701000.0,-241725000.0,,3217000.0,1095384000.0,4623983000.0,-0.2206760368966499,-0.0522763600125692,-0.0553818258716122,0.4820968513290446,3.2213351664804306,,,True,High Risk,CRK,6.780595238095239,14.78820717131474,Low Risk
0000024545-22-000005,24545,MOLSON COORS BEVERAGE CO,US,CO,GOLDEN,2022-02-23 11:16:00.0,10-K,20211231.0,2021.0,FY,1732700000.0,662700000.0,,,,221200000.0,1573500000.0,-949000000.0,,24200000.0,13417100000.0,3955500000.0,-0.0707306347869509,-0.2399190999873593,-0.4269389958610761,0.3824666705142263,-0.705189646048699,,,True,High Risk,TAP,49.788690476190474,52.42334661354581,Low Risk
0000025232-22-000005,25232,COUSINS PROPERTIES INC,US,GA,ATLANTA,2022-02-03 16:43:00.0,10-K,20211231.0,2021.0,FY,,,,,5542762000.0,43100000.0,351088000.0,0.0,199000000.0,690000.0,0.0,590853000.0,,0.0,,,,0.0,0.3368012009755387,True,High Risk,CUZ,37.20825396825396,31.61764940239044,High Risk
0000026172-22-000008,26172,CUMMINS INC,US,IN,COLUMBUS,2022-02-08 10:23:00.0,10-K,20211231.0,2021.0,FY,3021000000.0,,1190000000.0,,,165000000.0,3181000000.0,,0.0,1000000.0,8062000000.0,23710000000.0,,,,,1.9409575787645743,,0.0,True,High Risk,CMI,241.7942857142857,216.75677290836651,High Risk
0000026324-22-000004,26324,CURTISS WRIGHT CORP,US,NC,DAVIDSON,2022-02-24 16:24:00.0,10-K,20211231.0,2021.0,FY,211640000.0,,140200000.0,,122535000.0,60000000.0,261180000.0,267159000.0,610413000.0,13669000.0,-562722000.0,235260000.0,-0.4747619606128781,1.1355904106095385,11.310711261642677,,-1.4180749997334383,0.4376692501634139,2.5946314715633765,True,High Risk,CW,123.14936507936508,148.22155378486056,Low Risk
0000027904-22-000003,27904,"DELTA AIR LINES, INC.",US,GA,ATLANTA,2022-02-11 16:50:00.0,10-K,20211231.0,2021.0,FY,4240000000.0,,,,11259000000.0,10000000.0,-3793000000.0,-12385000000.0,,149000000.0,-148000000.0,70548000000.0,83.68243243243244,-0.1755542325792368,-0.1867798757314351,,-477.6756756756757,,,True,High Risk,DAL,42.81670634920635,35.451992031872514,High Risk
0000027996-22-000078,27996,DELUXE CORP,US,MN,MINNEAPOLIS,2022-02-28 13:56:00.0,10-K,20211231.0,2021.0,FY,153072000.0,197947000.0,177183000.0,,,,286653000.0,8808000.0,23409000.0,,,3074384000.0,,0.0028649641684317,0.003015083633655,1.293162694679628,,0.3762655388952967,0.0076142082446434,True,High Risk,DLX,39.654047619047624,23.87306772908366,High Risk
0000028412-22-000067,28412,COMERICA INC /NEW/,US,TX,DALLAS,2022-02-16 16:53:00.0,10-K,20211231.0,2021.0,FY,,,,,2175000000.0,1000000.0,1250000000.0,,711000000.0,41000000.0,,9912000000.0,,,,,,,0.071731234866828,True,High Risk,CMA,74.45015873015872,80.73589641434262,Low Risk
0000029905-22-000009,29905,DOVER CORP,US,IL,DOWNERS GROVE,2022-02-11 16:37:00.0,10-K,20211231.0,2021.0,FY,853942000.0,1347514000.0,,,857636000.0,138947000.0,1115865000.0,683451000.0,15082000.0,,,3201504000.0,,0.2134781027916879,0.2911322469864481,1.5779924163467776,,45.31567431375149,0.0047109108718902,True,High Risk,DOV,152.86198412698414,139.80956175298803,High Risk
0000029915-22-000004,100790,UNION CARBIDE CORP /NEW/,US,TX,HOUSTON,2022-02-04 07:42:00.0,10-K,20211231.0,2021.0,FY,,33000000.0,,,141000000.0,,406000000.0,627000000.0,4377000000.0,,1664000000.0,5375000000.0,0.3768028846153846,0.1166511627906976,,,2.230168269230769,0.1432488005483207,0.8143255813953488,True,High Risk,,,,
0000029989-22-000012,29989,OMNICOM GROUP INC.,US,NY,NEW YORK,2022-02-09 06:36:00.0,10-K,20211231.0,2021.0,FY,11897200000.0,8472500000.0,,,747800000.0,83800000.0,1945400000.0,945400000.0,267600000.0,70800000.0,3084400000.0,28421800000.0,0.3065101802619634,0.0332631993751275,0.0572116722946395,0.7121423528225128,8.21469329529244,3.53288490284006,0.0094153079678275,True,High Risk,OMC,73.95781746031747,74.05159362549801,Low Risk
0000030625-22-000039,30625,FLOWSERVE CORP,US,TX,IRVING,2022-02-23 16:03:00.0,10-K,20211231.0,2021.0,FY,440199000.0,753462000.0,463222000.0,,506386000.0,13600000.0,310537000.0,56051000.0,3631000.0,23900000.0,1730991000.0,3039069000.0,0.0323808731530088,0.0184434772622799,0.0215674504688576,1.7116395084950216,0.7556815720012409,15.436794271550538,0.0011947737942113,False,Low Risk,FLS,37.95821428571429,30.973864541832672,High Risk
0000032604-22-000009,32604,EMERSON ELECTRIC CO,US,MO,ST LOUIS,2022-02-02 12:56:00.0,10-Q,20211231.0,2022.0,Q1,2100000000.0,2745000000.0,3194000000.0,,,11000000.0,808000000.0,896000000.0,,-64000000.0,10249000000.0,26959000000.0,0.0874231632354376,0.033235654141474,0.0360432841224506,1.3071428571428572,1.6304029661430384,,,True,High Risk,EMR,93.58503968253969,88.90211155378485,High Risk
0000033185-22-000014,33185,EQUIFAX INC,US,GA,ATLANTA,2022-02-24 16:55:00.0,10-K,20211231.0,2021.0,FY,159100000.0,727600000.0,251800000.0,,1470700000.0,140100000.0,1334800000.0,520100000.0,,,3584400000.0,9611800000.0,0.145100993192724,0.0541105724213986,0.0550213166608482,4.573224387177875,1.6815645575270617,,,True,High Risk,EFX,235.34126984126985,203.459203187251,High Risk
0000033213-22-000007,33213,EQT CORP,US,PA,PITTSBURGH,2022-02-10 16:17:00.0,10-K,20211231.0,2021.0,FY,705461000.0,566552000.0,,,,26006000.0,1537701000.0,-8367000.0,4416484000.0,3376000.0,9255240000.0,18113469000.0,-0.0009040284206568,-0.0004619214574524,-0.000480640863676,0.8030947139530038,0.9571041917875712,-0.001894493447729,0.2438232013978106,True,High Risk,EQT,19.486904761904764,37.34023904382471,Low Risk
0000034088-22-000011,34088,EXXON MOBIL CORP,US,TX,IRVING,2022-02-23 16:11:00.0,10-K,20211231.0,2021.0,FY,,26883000000.0,,,,,14668000000.0,23040000000.0,264938000000.0,672000000.0,157150000000.0,20220000000.0,0.1466115176582882,1.13946587537092,,,-0.8713331212217627,0.0869637424605001,13.10276953511375,True,High Risk,XOM,57.96365079365079,91.65203187250997,Low Risk
0000034563-22-000010,34563,FARMER BROTHERS CO,US,TX,NORTHLAKE,2022-02-03 17:53:00.0,10-Q,20211231.0,2022.0,Q2,45703000.0,,,,,600000.0,-3823000.0,-5420000.0,,300000.0,96193000.0,346658000.0,-0.0563450562930774,-0.0156350062597718,-0.0180093369440614,,2.6037757425176467,,,True,High Risk,FARM,8.669027777777778,5.610448207171314,High Risk
0000034782-22-000038,34782,1ST SOURCE CORP,US,IN,SOUTH BEND,2022-02-17 17:29:00.0,10-K,20211231.0,2021.0,FY,,,,,,30000.0,166761000.0,92015000.0,48568000.0,0.0,886845000.0,995439000.0,0.1037554476825149,0.0924366033478696,,,0.1224498080273328,1.894560204249712,0.0487905336238584,True,High Risk,SRCE,46.66210317460317,49.13171314741035,Low Risk
0000034903-22-000023,34903,FEDERAL REALTY INVESTMENT TRUST,US,MD,NORTH BETHESDA,2022-02-10 16:11:00.0,10-K,20211231.0,2021.0,FY,,,,,3488794000.0,4060000.0,461919000.0,353866000.0,935788000.0,13330000.0,2464157000.0,7607624000.0,0.143605297876718,0.046514654246845,,,2.0873130242918774,0.3781476146306642,0.1230066049531364,True,High Risk,FRT,114.04230158730158,109.47394422310757,Low Risk
0000035527-22-000119,35527,FIFTH THIRD BANCORP,US,OH,CINCINNATI,2022-02-25 16:20:00.0,10-K,20211231.0,2021.0,FY,,,,,,54000000.0,1910000000.0,1427000000.0,,2000000.0,,1300000000.0,,1.0976923076923075,,,,,,True,High Risk,FITB,39.045277777777784,38.166055776892435,Low Risk
0000037785-22-000025,37785,FMC CORP,US,PA,PHILADELPHIA,2022-02-25 15:58:00.0,10-K,20211231.0,2021.0,FY,946700000.0,,674700000.0,,880400000.0,62600000.0,,206200000.0,,,2961800000.0,10581300000.0,0.0696198257816192,0.0194872085660552,0.0214020301828825,,2.572590991964346,,,True,High Risk,FMC,106.37448412698413,117.53681274900397,Low Risk
0000037808-22-000005,37808,FNB CORP/PA/,US,PA,PITTSBURGH,2022-02-24 17:14:00.0,10-K,20211231.0,2021.0,FY,,,,,4087000000.0,13000000.0,113000000.0,286000000.0,,16000000.0,-40000000.0,36000000.0,-7.15,7.944444444444445,,,-1.9,,,True,High Risk,FNB,12.039960317460318,12.523585657370518,Low Risk
0000037996-22-000013,37996,FORD MOTOR CO,US,MI,DEARBORN,2022-02-03 18:24:00.0,10-K,20211231.0,2021.0,FY,,9993000000.0,,,22611000000.0,,15787000000.0,,6526000000.0,2000000.0,48519000000.0,62741000000.0,,,,,0.2931222819926214,,0.1040149184743628,True,High Risk,F,14.221587301587302,14.872470119521912,Low Risk
0000038009-22-000012,38009,FORD MOTOR CREDIT CO LLC,US,MI,DEARBORN,2022-02-03 18:34:00.0,10-K,20211231.0,2021.0,FY,,,,,,,4624000000.0,0.0,7622000000.0,,5227000000.0,134945000000.0,0.0,0.0,,,24.816912186722785,0.0,0.0564822705546704,True,High Risk,,,,
0000038725-22-000033,38725,FRANKLIN ELECTRIC CO INC,US,IN,FORT WAYNE,2022-02-25 15:44:00.0,10-K,20211231.0,2021.0,FY,95903000.0,196173000.0,,,283420000.0,14400000.0,129763000.0,100500000.0,,10100000.0,847833000.0,1575165000.0,0.1185374950019638,0.0638028397025073,0.0679392832371817,2.0455355932556856,0.857871774276302,,,True,High Risk,FELE,82.22507936507937,81.9580876494024,Low Risk
0000038777-22-000013,38777,FRANKLIN RESOURCES INC,US,CA,SAN MATEO,2022-02-01 08:45:00.0,10-Q,20211231.0,2022.0,Q1,,,,,,58200000.0,1200000.0,453200000.0,,,0.0,6237300000.0,,0.0726596443974155,,,,,,True,High Risk,BEN,30.992103174603177,26.64760956175299,High Risk
0000039263-22-000008,39263,"CULLEN/FROST BANKERS, INC.",US,TX,SAN ANTONIO,2022-02-04 15:55:00.0,10-K,20211231.0,2021.0,FY,,,,,997168000.0,1200000.0,235220000.0,443079000.0,1367907000.0,700000.0,4293016000.0,42391317000.0,0.1032092589452263,0.0104521168804451,,,8.874483812778708,0.3239101781042132,0.0322685657536896,True,High Risk,CFR,115.15960317460318,135.044780876494,Low Risk
0000040211-22-000023,40211,GATX CORP,US,IL,CHICAGO,2022-02-17 16:16:00.0,10-K,20211231.0,2021.0,FY,,,,,,,507200000.0,146100000.0,834300000.0,15900000.0,720100000.0,5119600000.0,0.2028884877100402,0.0285373857332604,,,6.109568115539508,0.1751168644372528,0.1629619501523556,True,High Risk,GATX,94.5879365079365,104.06450199203186,Low Risk
